##For information about the Annotation file content, please see the bundled README file.
#%create_date=2009-03-02 PST 12:00:00
#%chip_type=HG-U133_Plus_2
#%genome-species=Homo sapiens
#%genome-version=NCBI Build 36.1
#%genome-version-ucsc=hg18
#%genome-version-ncbi=NCBI Build 36.1
#%genome-version-create_date=March 2006
#%netaffx-annotation-date=2009-03-16
#%netaffx-annotation-netaffx-build=28
#%netaffx-annotation-tabular-data-version=1.0
#%netaffx-annotation-tabular-format-version=1.0
Probe Set ID	Gene Symbol	Entrez Gene
1552506_at	CRB2	286204
1552507_at	KCNE4	23704
1552508_at	KCNE4	23704
1552509_a_at	CD300LG	146894
1552510_at	SLC34A3	142680
1552511_a_at	CPA6	57094
1552514_at	WBP2NL	164684
1552515_at	HIPK1	204851
1552516_a_at	HIPK1	204851
1552518_s_at	MTBP	27085
1552519_at	ACVR1C	130399
1552520_at	TMEM74	157753
1552521_a_at	TMEM74	157753
1552522_at	TIGD4	201798
1552523_a_at	TIGD4	201798
1552524_at	ART5	116969
1552526_at	FAM71C	196472
1552528_at	C21orf67	84536
1552531_a_at	NLRP11	204801
1552532_a_at	ATP6V1C2	245973
1552535_at	CLDN19	149461
1552536_at	VTI1A	143187
1552538_a_at	KIF6	221458
1552540_s_at	IQCD	115811
1552541_at	TAGAP	117289
1552542_s_at	TAGAP	117289
1552543_a_at	STON2	85439
1552544_at	SERPINA12	145264
1552546_a_at	LETM2	137994
1552548_at	BSND	7809
1552549_a_at	BSND	7809
1552552_s_at	CLEC4C	170482
1552553_a_at	NLRC4	58484
1552554_a_at	NLRC4	58484
1552555_at	PRSS36	146547
1552557_a_at	ZDHHC15	158866
1552558_a_at	RAI1	10743
1552559_a_at	PFTK2	65061
1552562_at	ZNF570	148268
1552563_a_at	C8orf6	203081
1552564_at	NUDT9P1	119369
1552566_at	BTBD16	118663
1552568_at	RTP3	83597
1552569_a_at	RTP3	83597
1552570_at	C21orf29	54084
1552572_a_at	MIPOL1	145282
1552573_s_at	MIPOL1	145282
1552575_a_at	C6orf141	135398
1552576_at	ALMS1P	200420
1552578_a_at	MYO3B	140469
1552579_a_at	ADAM21	8747
1552580_at	TRIML2	205860
1552582_at	ABCC13	150000
1552583_s_at	ABCC13	150000
1552584_at	IL12RB1	3594
1552585_s_at	GTF2A1L /// STON1	11036 /// 11037
1552586_at	TRPV3	162514
1552587_at	CNBD1	168975
1552588_a_at	CNBD1	168975
1552590_a_at	ABCC12	94160
1552592_at	MMP21	118856
1552594_at	TMEM190	147744
1552596_at	GAS2L2	246176
1552598_at	KCNG4	93107
1552599_at	PXT1	222659
1552602_at	CACNG5	27091
1552604_at	C21orf74	54143
1552605_s_at	C21orf74	54143
1552607_at	CXorf52 /// LOC100132967	100132967 /// 286967
1552608_at	WFDC11	259239
1552609_s_at	IL28A /// IL28B	282616 /// 282617
1552610_a_at	JAK1	3716
1552611_a_at	JAK1	3716
1552612_at	CDC42SE2	56990
1552613_s_at	CDC42SE2	56990
1552615_at	ACACB	32
1552616_a_at	ACACB	32
1552617_a_at	RFWD2	64326
1552618_at	STX6	10228
1552619_a_at	ANLN	54443
1552620_at	SPRR4	163778
1552621_at	POLR2J2	246721
1552622_s_at	LOC100134053 /// LOC441259 /// PMS2L12 /// POLR2J2 /// POLR2J4	100134053 /// 246721 /// 392713 /// 441259 /// 84820
1552623_at	HSH2D	84941
1552625_a_at	TRNT1	51095
1552626_a_at	TMEM163	81615
1552627_a_at	ARHGAP5	394
1552628_a_at	HERPUD2	64224
1552629_a_at	JMJD6	23210
1552630_a_at	SRCAP	10847
1552631_a_at	MAP3K6	9064
1552632_a_at	ARSG	22901
1552633_at	ZNF101	94039
1552634_a_at	ZNF101	94039
1552637_at	PTPN11	5781
1552639_at	KLHDC7B	113730
1552641_s_at	ATAD3A /// ATAD3B /// ATAD3C /// LOC732419	219293 /// 55210 /// 732419 /// 83858
1552643_at	ZNF626	199777
1552644_a_at	PHC3	80012
1552646_at	IL11RA	3590
1552648_a_at	TNFRSF10A	8797
1552649_a_at	RFFL	117584
1552651_a_at	RFFL	117584
1552652_at	HPS4	89781
1552656_s_at	UHMK1	127933
1552657_a_at	TXNDC2	84203
1552658_a_at	NAV3	89795
1552660_a_at	C5orf22	55322
1552661_at	PCDHGB7	56099
1552662_a_at	PCDHGB7	56099
1552663_a_at	ERC1	23085
1552664_at	FLCN	201163
1552665_at	MGC14425	84989
1552666_a_at	LRRC7	57554
1552667_a_at	SH2D3C	10044
1552669_at	PPP1R3B	79660
1552670_a_at	PPP1R3B	79660
1552671_a_at	SLC9A7	84679
1552672_a_at	IGSF3	3321
1552673_at	RFX6	222546
1552674_at	DIRC1	116093
1552675_at	DNAJB7	150353
1552676_at	UCN3	114131
1552677_a_at	DIP2A	23181
1552678_a_at	USP28	57646
1552680_a_at	CASC5	57082
1552682_a_at	CASC5	57082
1552684_a_at	SENP8	123228
1552685_a_at	GRHL1	29841
1552686_at	C20orf152	140894
1552687_a_at	C20orf152	140894
1552689_at	CASKIN1	57524
1552690_a_at	CACNA2D4	93589
1552691_at	ARL11	115761
1552693_at	ARL11	115761
1552694_at	SLC2A13	114134
1552695_a_at	SLC2A13	114134
1552696_at	NIPA1	123606
1552698_at	MGC16703	113691
1552701_a_at	CARD16	114769
1552703_s_at	CARD16 /// CASP1	114769 /// 834
1552705_at	DUSP19	142679
1552708_a_at	DUSP19	142679
1552711_a_at	CYB5D1	124637
1552712_a_at	NMNAT2	23057
1552713_a_at	SLC4A1	6521
1552714_at	CREG2	200407
1552715_a_at	RXFP1	59350
1552716_at	LOC100134025 /// SPEF2	100134025 /// 79925
1552717_s_at	CEP170 /// CEP170L	645455 /// 9859
1552718_at	DTD1	92675
1552719_at	CASC4	113201
1552721_a_at	FGF1	2246
1552722_at	ARPP-21	10777
1552724_at	RHOXF1	158800
1552725_s_at	ADAMTS17	170691
1552726_at	ADAMTS17	170691
1552727_s_at	ADAMTS17	170691
1552729_at	SNHG7	84973
1552730_at	DHH	50846
1552731_at	ABRA	137735
1552732_at	ABRA	137735
1552733_at	KLHDC1	122773
1552734_at	RICTOR	253260
1552735_at	PCDHGA4	56111
1552736_a_at	NETO1	81832
1552737_s_at	WWP2	11060
1552738_a_at	ST7L	54879
1552739_s_at	ST7L	54879
1552740_at	C2orf15	150590
1552742_at	KCNH8	131096
1552743_at	MCF2L	23263
1552745_at	SLCO6A1	133482
1552747_a_at	C3orf48	151649
1552749_a_at	KLC3	147700
1552750_at	CIB3	117286
1552751_a_at	CIB3	117286
1552752_a_at	CADM2	253559
1552754_a_at	CADM2	253559
1552755_at	C9orf66	157983
1552757_s_at	C9orf66	157983
1552758_at	HDAC9	9734
1552760_at	HDAC9	9734
1552761_at	SLC16A11	162515
1552763_at	TMEM67	91147
1552765_x_at	TMEM67	91147
1552766_at	HS6ST2	90161
1552767_a_at	HS6ST2	90161
1552768_at	CAMKK1	84254
1552769_at	ZNF625	90589
1552770_s_at	ZNF563	147837
1552771_a_at	LIN9	286826
1552772_at	CLEC4D	338339
1552773_at	CLEC4D	338339
1552774_a_at	SLC25A27	9481
1552775_at	GPRC6A	222545
1552777_a_at	RAET1E	135250
1552779_a_at	SLC44A5	204962
1552782_at	SLC44A5	204962
1552783_at	ZNF417	147687
1552785_at	ZNF781	163115
1552787_at	HELB	92797
1552788_a_at	HELB	92797
1552789_at	SEC62	7095
1552790_a_at	SEC62	7095
1552791_a_at	TRDN	10345
1552792_at	SOCS4	122809
1552793_at	C8orf31	286122
1552794_a_at	ZNF547	284306
1552796_a_at	SIM1	6492
1552797_s_at	PROM2	150696
1552798_a_at	TLR4	7099
1552799_at	TSNARE1	203062
1552800_at	ABHD11	83451
1552801_at	CAPN13	92291
1552803_a_at	C1orf215	149421
1552804_a_at	TIRAP	114609
1552806_a_at	SIGLEC10	89790
1552807_a_at	SIGLEC10	89790
1552808_at	ADAMTSL1	92949
1552809_at	RFX4	5992
1552811_at	WFIKKN1	117166
1552812_a_at	SENP1	29843
1552813_at	KLF14	136259
1552814_a_at	KLF14	136259
1552816_at	NXNL2	158046
1552818_a_at	BRS3	680
1552819_at	C21orf86	257103
1552822_at	TXNDC10	54495
1552825_at	ZNF396	252884
1552826_at	SLC26A7	115111
1552827_s_at	SLC26A7	115111
1552828_at	SNX18	112574
1552829_at	---	---
1552830_at	FBXO39	162517
1552833_at	B3GNT6	192134
1552834_at	B3GNT6	192134
1552835_at	DENND1B	163486
1552836_at	ZNF619	285267
1552837_at	ICK	22858
1552839_at	FAM71D	161142
1552841_s_at	BCL2L14	79370
1552842_at	HS6ST3 /// LOC100134314	100134314 /// 266722
1552843_at	SLC26A1	10861
1552845_at	CLDN15	24146
1552846_s_at	RAB42	115273
1552848_a_at	PTCHD1	139411
1552849_at	C2orf65	130951
1552851_at	ZSCAN4	201516
1552852_a_at	ZSCAN4	201516
1552853_at	VWA5B1	127731
1552854_a_at	VWA5B1	127731
1552856_at	TMEM148	197196
1552857_a_at	HTR6	3362
1552858_at	MAGEB6	158809
1552860_at	TCEB3C	162699
1552862_at	C1orf104	284618
1552863_a_at	CACNG6	59285
1552865_a_at	IFLTD1	160492
1552867_at	---	---
1552868_at	C19orf23	148046
1552870_s_at	C1orf125	126859
1552872_at	NCRNA00105	80161
1552873_s_at	NCRNA00105	80161
