FILE_NAME	PEAK_NAME	RETENTION_TIME	MZ
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	96.9217_0.3014	0.3014	96.9217
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	97.0265_5.78	5.78	97.0265
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	97.0273_0.6948	0.6948	97.0273
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	97.0276_0.4106	0.4106	97.0276
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	97.1005_2.5344	2.5344	97.1005
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	98.0948_0.5432	0.5432	98.0948
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	98.9615_5.937	5.937	98.9615
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	98.9615_9.0577	9.0577	98.9615
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	98.9689_5.7933	5.7933	98.9689
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	98.9808_3.25	3.25	98.9808
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	98.9835_0.355	0.355	98.9835
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	99.0435_5.7841	5.7841	99.0435
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	102.0003_1.6184	1.6184	102.0003
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	102.1267_0.6017	0.6017	102.1267
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	103.0506_5.7791	5.7791	103.0506
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	103.054_1.5495	1.5495	103.054
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	104.1056_6.8483	6.8483	104.1056
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	104.1058_6.5574	6.5574	104.1058
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	104.1059_7.3117	7.3117	104.1059
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	104.1062_7.8624	7.8624	104.1062
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	104.1062_6.6987	6.6987	104.1062
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	104.1064_0.3266	0.3266	104.1064
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	104.1065_7.0124	7.0124	104.1065
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	104.1066_6.4217	6.4217	104.1066
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	104.1066_6.2067	6.2067	104.1066
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	104.1067_7.1995	7.1995	104.1067
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	105.0693_5.2192	5.2192	105.0693
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	105.0695_5.7853	5.7853	105.0695
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	106.0278_0.6982	0.6982	106.0278
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	106.0666_1.5404	1.5404	106.0666
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	106.9507_0.2951	0.2951	106.9507
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	107.0158_1.616	1.616	107.0158
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	107.0487_1.5494	1.5494	107.0487
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	107.0488_0.7979	0.7979	107.0488
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	107.0848_3.1569	3.1569	107.0848
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	107.0851_5.497	5.497	107.0851
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	107.0852_3.0942	3.0942	107.0852
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	107.0855_5.7846	5.7846	107.0855
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	109.0644_0.7976	0.7976	109.0644
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	110.0345_0.5495	0.5495	110.0345
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	110.071_0.3172	0.3172	110.071
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	111.0435_5.7811	5.7811	111.0435
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	111.0442_5.4977	5.4977	111.0442
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	112.0385_1.6955	1.6955	112.0385
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	112.0499_0.4057	0.4057	112.0499
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	112.1116_0.277	0.277	112.1116
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	112.896_0.3041	0.3041	112.896
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	113.0321_0.7875	0.7875	113.0321
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	113.9642_0.5092	0.5092	113.9642
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	114.0369_0.5375	0.5375	114.0369
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	114.0545_2.169	2.169	114.0545
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	114.0659_0.3599	0.3599	114.0659
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	115.0535_1.8952	1.8952	115.0535
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	116.0162_0.5424	0.5424	116.0162
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	116.0163_1.619	1.619	116.0163
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	116.0701_0.3676	0.3676	116.0701
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	116.8912_0.3052	0.3052	116.8912
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	117.065_1.8947	1.8947	117.065
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	117.0684_5.7838	5.7838	117.0684
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	118.0647_1.892	1.892	118.0647
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	118.0654_1.5463	1.5463	118.0654
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	118.0655_0.7996	0.7996	118.0655
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	118.086_0.353	0.353	118.086
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	119.0488_4.9157	4.9157	119.0488
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	119.0489_0.7992	0.7992	119.0489
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	119.0495_3.6732	3.6732	119.0495
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	119.0723_1.5711	1.5711	119.0723
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	119.0852_5.7842	5.7842	119.0852
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	119.0852_8.4445	8.4445	119.0852
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	119.0852_3.0952	3.0952	119.0852
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	119.0854_5.4959	5.4959	119.0854
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	120.0034_0.2989	0.2989	120.0034
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	120.0802_1.5534	1.5534	120.0802
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	120.9366_4.4492	4.4492	120.9366
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	120.9371_3.2101	3.2101	120.9371
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	121.028_5.0108	5.0108	121.028
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	121.0647_5.2138	5.2138	121.0647
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	122.0087_1.6955	1.6955	122.0087
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	122.07_0.3691	0.3691	122.07
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	122.6065_1.5572	1.5572	122.6065
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	122.6443_1.5542	1.5542	122.6443
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	122.9246_0.2974	0.2974	122.9246
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	123.0452_0.793	0.793	123.0452
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	123.0547_0.5236	0.5236	123.0547
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	123.0549_0.6863	0.6863	123.0549
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	124.1116_2.5334	2.5334	124.1116
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	124.9997_6.2838	6.2838	124.9997
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	124.9997_0.3386	0.3386	124.9997
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	125.0957_2.5344	2.5344	125.0957
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	125.1322_9.1756	9.1756	125.1322
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	126.054_0.4019	0.4019	126.054
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	127.0388_1.5784	1.5784	127.0388
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	127.0395_5.7858	5.7858	127.0395
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	128.0483_3.3345	3.3345	128.0483
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	128.0524_2.9839	2.9839	128.0524
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	128.0701_2.1692	2.1692	128.0701
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	128.1061_2.0977	2.0977	128.1061
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	129.0543_3.0966	3.0966	129.0543
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	129.0549_5.4952	5.4952	129.0549
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	129.055_5.7822	5.7822	129.055
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	129.1374_0.2786	0.2786	129.1374
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	130.0489_1.0573	1.0573	130.0489
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	130.0491_1.6955	1.6955	130.0491
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	130.0494_0.3619	0.3619	130.0494
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	130.0494_0.5442	0.5442	130.0494
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	130.0646_1.8912	1.8912	130.0646
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	130.0861_0.7556	0.7556	130.0861
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	130.0953_0.3183	0.3183	130.0953
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	132.0764_0.3612	0.3612	132.0764
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	132.0803_1.8924	1.8924	132.0803
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	132.101_0.9564	0.9564	132.101
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	132.1011_1.9973	1.9973	132.1011
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	133.033_0.5317	0.5317	133.033
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	133.0644_3.2501	3.2501	133.0644
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	133.0654_5.7774	5.7774	133.0654
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	133.0855_7.4864	7.4864	133.0855
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	134.0215_0.3194	0.3194	134.0215
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	134.0267_1.6183	1.6183	134.0267
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	134.0955_3.334	3.334	134.0955
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	134.0957_2.3975	2.3975	134.0957
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	135.0801_3.0996	3.0996	135.0801
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	135.0802_5.4974	5.4974	135.0802
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	135.0807_5.7852	5.7852	135.0807
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	135.977_0.2995	0.2995	135.977
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	136.0545_0.5858	0.5858	136.0545
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	136.061_0.4519	0.4519	136.061
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	136.0612_1.8881	1.8881	136.0612
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	136.0613_0.6858	0.6858	136.0613
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	136.0634_1.444	1.444	136.0634
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	136.0739_0.7965	0.7965	136.0739
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	136.0828_5.5006	5.5006	136.0828
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	137.0453_1.426	1.426	137.0453
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	137.046_0.5602	0.5602	137.046
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	138.023_2.5337	2.5337	138.023
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	138.0545_0.3912	0.3912	138.0545
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	138.127_2.9863	2.9863	138.127
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	138.9071_0.3173	0.3173	138.9071
BRC_CLARKE_Metab_Lcc9_Lcc1.Rda	139.0747_2.1026	2.1026	139.0747
