REPORTER ID	miRNA ID
MT16437|mir-345No1	hsa-miR-345
MT16438|mir-345No2	
MT16439|mir-346No1	hsa-miR-346
MT16440|mir-346No2	
MT16441|mir-34aNo1	hsa-miR-34a
MT16442|mir-34aNo2	
MT16443|mir-34bNo1	hsa-miR-34b*
MT16444|mir-34bNo2	hsa-miR-136
MT16445|mir-34cNo1	hsa-miR-34c-5p
MT16446|mir-34cNo2	
MT16447|mir-361No1	hsa-miR-361-5p
MT16448|mir-361No2	hsa-miR-520c-3p
MT16449|mir-362No1	hsa-miR-362-5p
MT16450|mir-362No2	
MT16451|mir-363No1	hsa-miR-363
MT16452|mir-363No2	hsa-miR-363*
MT16453|mir-365-1No1	hsa-miR-365
MT16454|mir-365-1No2	
MT16455|mir-365-2No1	hsa-miR-365
MT16456|mir-365-2No2	
MT16457|mir-367No1	hsa-miR-367
MT16458|mir-367No2	
MT16459|mir-368No1	hsa-miR-376c
MT16460|mir-368No2	
MT16461|mir-369No1	hsa-miR-369-3p
MT16462|mir-369No2	hsa-miR-369-5p
MT16463|mir-370No1	hsa-miR-370
MT16464|mir-370No2	
MT16465|mir-371No1	hsa-miR-371-3p
MT16466|mir-371No2	hsa-miR-768-3p_v11.0
MT16467|mir-372No1	hsa-miR-372
MT16468|mir-372No2	
MT16469|miR-373*No1	hsa-miR-373*
MT16470|miR-373*No2	hsa-miR-373
MT16471|mir-373No1	hsa-miR-373
MT16472|mir-373No2	hsa-miR-373*
MT16473|mir-374No1	hsa-miR-374a
MT16474|mir-374No2	
MT16475|mir-375	hsa-miR-375
MT16476|mir-376aNo1	hsa-miR-376a
MT16477|mir-376aNo2	hsa-miR-376a*
MT16478|mir-376bNo1	hsa-miR-376b
MT16479|mir-376bNo2	
MT16480|mir-377No1	hsa-miR-377
MT16481|mir-377No2	
MT16482|mir-378No1	hsa-miR-378*
MT16483|mir-378No2	hsa-miR-378
MT16484|mir-379No1	hsa-miR-379
MT16485|mir-379No2	hsa-miR-758
MT16486|mir-380-3p	hsa-miR-380
MT16487|mir-380-5p	hsa-miR-380*
MT16488|mir-381No1	hsa-miR-381
MT16489|mir-381No2	
MT16490|mir-382	hsa-miR-382
MT16491|mir-383No1	hsa-miR-383
MT16492|mir-383No2	
MT16493|mir-384	hsa-miR-384
MT16494|mir-409-3p	hsa-miR-409-3p
MT16495|mir-409-5p	hsa-miR-409-5p
MT16496|mir-410No1	hsa-miR-410
MT16497|mir-410No2	
MT16498|mir-412No1	hsa-miR-412
MT16499|mir-412No2	
MT16500|mir-422aNo1	hsa-miR-422a
MT16501|mir-422aNo2	
MT16502|mir-423No1	hsa-miR-423-3p
MT16503|mir-423No2	
MT16504|mir-424No1	hsa-miR-424
MT16505|mir-424No2	
MT16506|mir-425No1	hsa-miR-425*
MT16507|mir-425No2	hsa-miR-425
MT16508|mir-429No1	hsa-miR-429
MT16509|mir-429No2	hsa-miR-218
MT16510|mir-431No1	hsa-miR-431
MT16511|mir-431No2	
MT16512|mir-4323p	hsa-miR-432*
MT16513|mir-4325p	hsa-miR-432
MT16514|mir-433No1	hsa-miR-433
MT16515|mir-433No2	
MT16516|mir-448No1	hsa-miR-448
MT16517|mir-448No2	
MT16518|mir-449No1	hsa-miR-449a
MT16519|mir-449No2	
MT16520|mir-450-1	hsa-miR-450a
MT16521|mir-450-2No1	hsa-miR-450a
MT16522|mir-450-2No2	
MT16523|mir-451No1	hsa-miR-451
MT16524|mir-451No2	hsa-miR-451
MT16525|mir-452	hsa-miR-452
MT16526|mir-452*	hsa-miR-452*
MT16527|mir-453No1	hsa-miR-453
MT16528|mir-453No2	
MT16529|mir-455No1	hsa-miR-455-5p
MT16530|mir-455No2	
MT16531|mir-483No1	hsa-miR-483-3p
MT16532|mir-483No2	hsa-miR-483-3p
MT16533|mir-484	hsa-miR-484
MT16534|mir-485-3p	hsa-miR-485-3p
MT16535|mir-485-5p	hsa-miR-485-5p
MT16536|mir-486	hsa-miR-486-5p
MT16537|mir-487No1	hsa-miR-487a
MT16538|mir-487No2	
MT16539|mir-488No1	hsa-miR-488*
MT16540|mir-488No2	
MT16541|mir-489No1	hsa-miR-489
MT16542|mir-489No2	
MT16543|mir-490No1	hsa-miR-490-3p
MT16544|mir-490No2	
MT16545|mir_490_Hcd20	NO MATCH
MT16546|mir_490_Hcd20	NO MATCH
MT16547|mir-491No1	hsa-miR-491-5p
MT16548|mir-491No2	
MT16549|mir-492No1	hsa-miR-492
MT16550|mir-492No2	
MT16551|mir-493No1	hsa-miR-493*
MT16552|mir-493No2	hsa-miR-493
MT16553|mir-494No1	hsa-miR-494
MT16554|mir-494No2	hsa-miR-453
MT16555|mir-495No1	hsa-miR-495
MT16556|mir-495No2	
MT16557|mir-496No1	hsa-miR-496
MT16558|mir-496No2	
MT16559|mir-497No1	hsa-miR-497
MT16560|mir-497No2	hsa-miR-497
MT16561|mir-498No1	hsa-miR-498
MT16562|mir-498No2	
MT16563|mir-499No1	hsa-miR-499-5p
MT16564|mir-499No2	hsa-miR-195
MT16565|mir-500No1	hsa-miR-500*
MT16566|mir-500No2	
MT16567|mir-501No1	hsa-miR-501-5p
MT16568|mir-501No2	hsa-miR-500*
MT16569|mir-502No1	hsa-miR-502-5p
MT16570|mir-502No2	hsa-miR-500*
MT16571|mir-503No1	hsa-miR-503
MT16572|mir-503No2	
MT16573|mir-504No1	hsa-miR-504
MT16574|mir-504No2	
MT16575|mir-505No1	hsa-miR-505
MT16576|mir-505No2	
MT16577|mir-506No1	hsa-miR-506
MT16578|mir-506No2	
MT16579|mir-507No1	hsa-miR-507
MT16580|mir-507No2	
MT16581|mir-508No1	hsa-miR-508-3p
MT16582|mir-508No2	
MT16583|mir-509No1	hsa-miR-509-3p
MT16584|mir-509No2	hsa-miR-510
MT16585|mir-510No1	hsa-miR-510
MT16586|mir-510No2	
MT16587|mir-511-1No1	hsa-miR-511
MT16588|mir-511-1No2	hsa-miR-511
MT16589|mir-511-2No1	hsa-miR-511
MT16590|mir-511-2No2	hsa-miR-511
MT16591|mir-512-1&23p	hsa-miR-512-3p
MT16592|mir-512-1&25p	hsa-miR-512-5p
MT16593|mir-513-1No1	hsa-miR-513a-5p
MT16594|mir-513-1No2	
MT16595|mir-513-2No1	hsa-miR-513a-5p
MT16596|mir-513-2No2	
MT16597|mir-514-1No1	hsa-miR-514
MT16598|mir-514-1No2	
MT16599|mir-514-2&3No1	hsa-miR-514
MT16600|mir-514-2&3No2	
MT16601|mir-515-13p	hsa-miR-515-3p
MT16602|mir-515-15p	hsa-miR-515-5p
MT16603|mir-515-23p	hsa-miR-515-3p
MT16604|mir-515-25p	hsa-miR-515-5p
MT16605|mir-516-1No1	hsa-miR-520c-3p
MT16606|mir-516-1No2	hsa-miR-526b
MT16607|mir-516-2No1	hsa-miR-520c-3p
MT16608|mir-516-2No2	hsa-miR-526b
MT16609|mir-516-33p	hsa-miR-520c-3p
MT16610|mir-516-35p	hsa-miR-516b
MT16611|mir-516-43p	hsa-miR-520c-3p
MT16612|mir-516-45p	hsa-miR-516b
MT16613|mir-517*	hsa-miR-517*
MT16614|mir-517a	hsa-miR-517a
MT16615|mir-517b	hsa-miR-517a
MT16616|mir-517b*	hsa-miR-517*
MT16617|mir-517c	NO MATCH
MT16618|mir-517c*	hsa-miR-517*
MT16619|mir-518a-1	hsa-miR-518a-3p
MT16620|mir-518a-1*	NO MATCH
MT16621|mir-518a-2	hsa-miR-518a-3p
MT16622|mir-518a-2*	NO MATCH
MT16623|mir-518bNo1	hsa-miR-518b
MT16624|mir-518bNo2	NO MATCH
MT16625|mir-518c	hsa-miR-518c
MT16626|mir-518c*	hsa-miR-518c*
MT16627|mir-518d/526a	NO MATCH
MT16628|mir-518dNo2	hsa-miR-518d-3p
MT16629|mir-518e	hsa-miR-518e
MT16630|mir-518e/526c	NO MATCH
MT16631|mir-518f	hsa-miR-518f
MT16632|mir-518f*	hsa-miR-518f*
MT16633|mir-519a-1	NO MATCH
MT16634|mir-519a-1/526c	NO MATCH
MT16635|mir-519a-2No1	NO MATCH
MT16636|mir-519a-2No2	NO MATCH
MT16637|mir-519b	hsa-miR-519b-3p
MT16638|mir-519b/526c	NO MATCH
MT16639|mir-519c	hsa-miR-519c-3p
MT16640|mir-519c/526c	NO MATCH
MT16641|mir-519dNo1	hsa-miR-519d
MT16642|mir-519dNo2	hsa-miR-518d-3p
MT16643|mir-519e	hsa-miR-519e
MT16644|mir-519e*	hsa-miR-519e*
MT16645|mir-520a	hsa-miR-520a-3p
MT16646|mir-520a*	hsa-miR-520a-5p
MT16647|mir-520bNo1	hsa-miR-520c-3p
MT16648|mir-520bNo2	NO MATCH
MT16649|mir-520c	hsa-miR-520c-3p
MT16650|mir-520c/526a	NO MATCH
MT16651|mir-520d	hsa-miR-520d-3p
MT16652|mir-520d*	NO MATCH
MT16653|mir-520eNo1	hsa-miR-520e
MT16654|mir-520eNo2	hsa-miR-517*
MT16655|mir-520fNo1	hsa-miR-520c-3p
MT16656|mir-520fNo2	NO MATCH
MT16657|mir-520gNo1	hsa-miR-520g
MT16658|mir-520gNo2	hsa-miR-526b
MT16659|mir-520hNo1	hsa-miR-520h
MT16660|mir-520hNo2	hsa-miR-526b
MT16661|mir-521-1No1	hsa-miR-521
MT16662|mir-521-1No2	hsa-miR-520a-3p
MT16663|mir-521-2No1	hsa-miR-521
MT16664|mir-521-2No2	hsa-miR-518d-3p
MT16665|mir-522	hsa-miR-522
MT16666|mir-522/526c	NO MATCH
MT16667|mir-523	hsa-miR-523
MT16668|mir-523/526c	NO MATCH
MT16669|mir-524	hsa-miR-524-3p
MT16670|mir-524*	hsa-miR-524-5p
MT16671|mir-525	hsa-miR-525-5p
MT16672|mir-525*	hsa-miR-525-3p
MT16673|mir-526a-1No1	NO MATCH
MT16674|mir-526a-1No2	hsa-miR-520c-3p
MT16675|mir-526a-2No1	NO MATCH
MT16676|mir-526a-2No2	NO MATCH
MT16677|mir-526b	hsa-miR-526b
MT16678|mir-526b*	hsa-miR-526b*
MT16679|mir-527No1	NO MATCH
MT16680|mir-527No2	hsa-miR-524-5p
MT16681|mir_95	NO MATCH
MT16682|mir_95	NO MATCH
MT16683|let-7a-1-prec	hsa-let-7a-1
MT16684|let-7a-2-precNo1	hsa-let-7a-2
MT16685|let-7a-2-precNo2	hsa-let-7a-2
MT16686|let-7a-3-prec	hsa-let-7a-3
MT16687|let-7b-prec	hsa-let-7b
MT16688|let-7c-prec	hsa-let-7c
MT16689|let-7d-prec	hsa-let-7d
MT16690|let-7d-v1-prec	hsa-let-7d
MT16691|let-7d-v2-precNo1	hsa-let-7i
MT16692|let-7d-v2-precNo2	hsa-let-7i
MT16693|let-7e-prec	hsa-let-7e
MT16694|let-7f-1-precNo1	hsa-let-7f-1
MT16695|let-7f-1-precNo2	hsa-let-7f-1
MT16696|let-7f-2-prec2	hsa-let-7f-2
MT16697|let-7g-precNo1	hsa-let-7g
MT16698|let-7g-precNo2	hsa-let-7g
MT16699|let-7iNo1	hsa-let-7i
MT16700|let-7iNo2	
MT16074|mir-007-1-prec	hsa-mir-7-1
MT16075|mir-007-2-precNo1	hsa-mir-7-2
MT16076|mir-007-2-precNo2	hsa-mir-7-2
MT16077|mir-007-3-precNo1	hsa-mir-7-3
MT16078|mir-007-3-precNo2	hsa-mir-7-3
MT16079|mir-009-1No1	hsa-miR-9
MT16080|mir-009-1No2	hsa-miR-9*
MT16081|mir-009-2No1	hsa-miR-9
MT16082|mir-009-2No2	hsa-miR-9*
MT16083|mir-009-3No1	hsa-miR-9
MT16084|mir-009-3No2	hsa-miR-9*
MT16085|mir-010a-precNo1	hsa-mir-10a
MT16086|mir-010a-precNo2	hsa-mir-10a
MT16087|mir-010b-precNo1	hsa-mir-10b
MT16088|mir-010b-precNo2	hsa-mir-10b
MT16089|mir-015a-2-precNo1	hsa-mir-15a
MT16090|mir-015a-2-precNo2	hsa-mir-15a
MT16091|mir-015b-precNo1	hsa-mir-15b
MT16092|mir-015b-precNo2	hsa-mir-15b
MT16093|mir-016a-chr13	hsa-miR-16
MT16094|mir-016b-chr3	hsa-miR-16
MT16095|mir-017-precNo1	hsa-mir-17
MT16096|mir-017-precNo2	hsa-mir-17
MT16097|mir-018-prec	hsa-mir-18a
MT16098|mir-019a-prec	hsa-mir-19a
MT16099|mir-019b-1-prec	hsa-mir-19b-1
MT16100|mir-019b-2-prec	hsa-mir-19b-2
MT16101|mir-020-prec	hsa-mir-20a
MT16102|mir-021-prec-17No1	hsa-mir-21
MT16103|mir-021-prec-17No2	hsa-mir-21
MT16104|mir-022-prec	hsa-mir-22
MT16105|mir-023a-prec	hsa-mir-23a
MT16106|mir-023b-prec	hsa-mir-23b
MT16107|mir-024-1-precNo1	hsa-mir-24-1
MT16108|mir-024-1-precNo2	hsa-mir-24-1
MT16109|mir-024-2-prec	hsa-mir-24-2
MT16110|mir-025-prec	hsa-mir-25
MT16111|mir-026a-precNo1	hsa-mir-26a-1
MT16112|mir-026a-precNo2	hsa-mir-26a-1
MT16113|mir-026b-prec	hsa-mir-26b
MT16114|mir-027a-prec	hsa-mir-27a
MT16115|mir-027b-prec	hsa-mir-27b
MT16116|mir-028-prec	hsa-mir-28
MT16117|mir-029a-2No1	hsa-miR-29a
MT16118|mir-029a-2No2	
MT16119|mir-029c-prec	hsa-mir-29c
MT16120|mir-030a-precNo1	hsa-mir-30a
MT16121|mir-030a-precNo2	hsa-mir-30a
MT16122|mir-030b-precNo1	hsa-mir-30b
MT16123|mir-030b-precNo2	hsa-mir-30b
MT16124|mir-030c-prec	hsa-mir-30c-2
MT16125|mir-030d-precNo1	hsa-mir-30d
MT16126|mir-030d-precNo2	hsa-mir-30d
MT16127|mir-031-prec	hsa-mir-31
MT16128|mir-032-precNo1	hsa-mir-32
MT16129|mir-032-precNo2	hsa-mir-32
MT16130|mir-033b-prec	hsa-mir-33b
MT16131|mir-033-prec	hsa-mir-33a
MT16132|mir-034precNo1	hsa-mir-34a
MT16133|mir-034-precNo2	hsa-mir-34a
MT16134|mir-092-prec-13=092-1No1	hsa-mir-92a-1
MT16135|mir-092-prec-13=092-1No2	hsa-mir-92a-1
MT16136|mir-092-prec-X=092-2	hsa-mir-92a-2
MT16137|mir-093-prec-7.1=093-1	hsa-mir-93
MT16138|mir-095-prec-4	hsa-mir-95
MT16139|mir-096-prec-7No1	hsa-mir-96
MT16140|mir-096-prec-7No2	hsa-mir-96
MT16141|mir-098-prec-X	hsa-mir-98
MT16142|mir-099b-prec-19No1	hsa-mir-99b
MT16143|mir-099b-prec-19No2	hsa-mir-99b
MT16144|mir-099-prec-21	hsa-mir-99a
MT16145|mir-100No1	hsa-miR-100
MT16146|mir-100-1/2-prec	hsa-mir-100
MT16147|mir-100No2	
MT16148|mir-101-1/2-precNo1	hsa-mir-101-1
MT16149|mir-101-1/2-precNo2	hsa-mir-101-1
MT16150|mir-101-1No1	hsa-miR-101
MT16151|mir-101-1No2	hsa-miR-101
MT16152|mir-101-2No1	hsa-miR-101
MT16153|mir-101-2No2	hsa-miR-9*
MT16154|mir-101-prec-9	hsa-mir-101-2
MT16155|mir-102-prec-1	hsa-mir-29b-2
MT16156|mir-103-2-prec	hsa-mir-103a-2
MT16157|mir-103-prec-5=103-1	hsa-mir-103a-1
MT16158|mir-105-2No1	hsa-miR-105
MT16159|mir-105-2No2	
MT16160|mir-105-prec-X.1=105-1	hsa-mir-105-1
MT16161|mir-106aNo1	NO MATCH
MT16162|mir-106aNo2	NO MATCH
MT16163|mir-106bNo1	hsa-miR-106b
MT16164|mir-106bNo2	
MT16165|mir-106-prec-X	hsa-mir-106a
MT16166|mir-107No1	hsa-miR-107
MT16167|mir-107No2	
MT16168|mir-107-prec-10	hsa-mir-107
MT16169|mir-1-1No1	hsa-miR-1
MT16170|mir-1-1No2	hsa-miR-1
MT16171|mir-1-2No1	hsa-miR-1
MT16172|mir-1-2No2	hsa-miR-1
MT16173|mir-122a-prec	hsa-mir-122
MT16174|mir-123-precNo1	hsa-mir-126
MT16175|mir-123-precNo2	hsa-mir-126
MT16176|mir-124a-1-prec1	hsa-mir-124-1
MT16177|mir-124a-2-prec	hsa-mir-124-2
MT16178|mir-124a-3-prec	hsa-mir-124-3
MT16179|mir-125a-precNo1	hsa-mir-125a
MT16180|mir-125a-precNo2	hsa-mir-125a
MT16181|mir-125b-1	hsa-miR-125b
MT16182|mir-125b-2-precNo1	hsa-mir-125b-2
MT16183|mir-125b-2-precNo2	hsa-mir-125b-2
MT16184|miR-126*No1	hsa-miR-126
MT16185|miR-126*No2	hsa-miR-126
MT16186|mir-126No1	hsa-miR-126*
MT16187|mir-126No2	hsa-miR-126*
MT16188|mir-127-prec	hsa-mir-127
MT16189|mir-128a-precNo1	hsa-mir-128-1
MT16190|mir-128a-precNo2	hsa-mir-128-1
MT16191|mir-128b-precNo1	hsa-mir-128-2
MT16192|mir-128b-precNo2	hsa-mir-128-2
MT16193|mir-129-2No1	hsa-miR-129-5p
MT16194|mir-129-2No2	
MT16195|mir-129-precNo1	hsa-mir-129-1
MT16196|mir-129-precNo2	hsa-mir-129-1
MT16197|mir-130a-precNo1	hsa-mir-130a
MT16198|mir-130a-precNo2	hsa-mir-130a
MT16199|mir-130bNo1	hsa-miR-130b
MT16200|mir-130bNo2	
MT16201|mir-132-precNo1	hsa-mir-132
MT16202|mir-132-precNo2	hsa-mir-132
MT16203|mir-133a-1	hsa-miR-133a
MT16204|mir-133a-2	hsa-miR-133a
MT16205|mir-133bNo1	hsa-miR-133b
MT16206|mir-133bNo2	
MT16207|mir-134-precNo1	hsa-mir-134
MT16208|mir-134-precNo2	hsa-mir-134
MT16209|mir-135-1-prec	hsa-mir-135a-1
MT16210|mir-135-2-prec	hsa-mir-135a-2
MT16211|mir-135a-1No1	hsa-miR-135a
MT16212|mir-135a-1No2	
MT16213|mir-135a-2No1	hsa-miR-135a
MT16214|mir-135a-2No2	
MT16215|mir-135bNo1	hsa-miR-135b
MT16216|mir-135bNo2	
MT16217|mir-136-precNo1	hsa-mir-136
MT16218|mir-136-precNo2	hsa-mir-136
MT16219|mir-137-prec	hsa-mir-137
MT16220|mir-138-1-prec	hsa-mir-138-1
MT16221|mir-138-2-prec	hsa-mir-138-2
MT16222|mir-139-prec	hsa-mir-139
MT16223|mir-140No1	hsa-miR-140-5p
MT16224|mir-140No2	
MT16225|mir-141-precNo1	hsa-mir-141
MT16226|mir-141-precNo2	hsa-mir-141
MT16227|mir-142-prec	hsa-mir-142
MT16228|mir-143-prec	hsa-mir-143
MT16229|mir-144-precNo1	hsa-mir-144
MT16230|mir-144-precNo2	hsa-mir-144
MT16231|mir-145-prec	hsa-mir-145
MT16232|mir-146bNo1	hsa-miR-146b-5p
MT16233|mir-146bNo2	
MT16234|mir-146-prec	hsa-mir-146a
MT16235|mir_147	NO MATCH
MT16236|mir-147-prec	hsa-mir-147a
MT16237|mir_147	NO MATCH
MT16238|mir-148aNo1	hsa-miR-148a
MT16239|mir-148aNo2	
MT16240|mir-148bNo1	hsa-miR-148b
MT16241|mir-148bNo2	hsa-miR-155
MT16242|mir-148-prec	hsa-mir-148a
MT16243|mir-149-prec	hsa-mir-149
MT16244|mir-150-prec	hsa-mir-150
MT16245|mir-151-prec	hsa-mir-151a
MT16246|mir-152-precNo1	hsa-mir-152
MT16247|mir-152-precNo2	hsa-mir-152
MT16248|mir-153-1-prec1	hsa-mir-153-1
MT16249|mir-153-1-prec2	hsa-mir-153-1
MT16250|mir-153-2-prec	hsa-mir-153-2
MT16251|mir-154-prec1No1	hsa-mir-154
MT16252|mir-154-prec1No2	hsa-mir-154
MT16253|mir-155-prec	hsa-mir-155
MT16254|mir-15aNo1	hsa-miR-15a
MT16255|mir-15aNo2	
MT16256|mir-16-1No1	hsa-miR-16
MT16257|mir-16-1No2	
MT16258|mir-16-2No1	hsa-miR-16
MT16259|mir-16-2No2	
MT16260|mir-181a-precNo1	hsa-mir-181a-2
MT16261|mir-181a-precNo2	hsa-mir-181a-2
MT16262|mir-181b-1No1	hsa-miR-181b
MT16263|mir-181b-1No2	hsa-miR-181d
MT16264|mir-181b-2No1	hsa-miR-181b
MT16265|mir-181b-2No2	
MT16266|mir-181b-precNo1	hsa-mir-181a-1
MT16267|mir-181b-precNo2	hsa-mir-181a-1
MT16268|mir-181c-precNo1	hsa-mir-181c
MT16269|mir-181c-precNo2	hsa-mir-181c
MT16270|mir-181dNo1	hsa-miR-181d
MT16271|mir-181dNo2	
MT16272|mir-182-precNo1	hsa-mir-182
MT16273|mir-182-precNo2	hsa-mir-182
MT16274|mir-183-precNo1	hsa-mir-183
MT16275|mir-183-precNo2	hsa-mir-183
MT16276|mir-184-precNo1	hsa-mir-184
MT16277|mir-184-precNo2	hsa-mir-184
MT16278|mir-185-precNo1	hsa-mir-185
MT16279|mir-185-precNo2	hsa-mir-185
MT16280|mir-186-prec	hsa-mir-186
MT16281|mir-187-precNo1	hsa-mir-187
MT16282|mir-187-precNo2	hsa-mir-187
MT16283|mir-188-prec	hsa-mir-188
MT16284|mir-18bNo1	hsa-miR-18b
