REPORTER ID	GENE SYMBOL
2948821	CCHCR1
2883283	TIMD4
2408146	MYCL1
4030162	DDX3Y
2358993	TUFT1
2719440	C1QTNF7
3768015	HELZ
3817167	MRPL54
3096271	C8orf40
2653902	ZNF639
3063501	CYP3A4
2424524	DPYD
3800779	ESCO1
2571979	SLC35F5
3014347	NPTX2
2948810	PSORS1C2
3374793	OR10V1
3489481	PHF11
3751625	SSH2
2735815	FAM190A
3194567	FAM69B
3653317	RBBP6
3260099	C10orf28
3849923	COL5A3
2817731	ZFYVE16
3325634	WIT1
2621122	NBEAL2
3129026	CHRNA2
3358401	SLC25A22
2391744	CDK11A
3538624	SIX6
3686080	NSMCE1
2997952	STARD3NL
3866302	AP2S1
3243708	BMS1
3456700	ZNF385A
3473083	MED13L
3358393	CEND1
3882681	CHMP4B
2686646	SENP7
2948790	CDSN
3980981	ITGB1BP2
3604147	KIAA1199
3522225	STK24
2342576	ACADM
3456688	GPR84
2408111	TRIT1
2948783	C6orf15
2457261	DUSP10
3391149	FDXACB1
2834093	TCERG1
2817708	SPZ1
2375338	OCR1
3063463	CYP3A7
3751590	CORO6
3849894	OLFM2
2358949	CGN
2522789	STRADB
3866276	SLC1A5
3620515	TMEM87A
3178147	CTSL1
4013730	BRWD3
3309215	EIF3A
2588319	KIAA1715
3702429	KCNG4
3817116	TJP3
3833500	SPTBN4
3882652	ZNF341
3374746	PATL1
3456666	NFE2
3358361	PDDC1
3784344	MAPRE2
3227288	FLJ46836
3096214	VDAC3
3571347	NUMB
2997907	EPDR1
3653266	CACNG3
3669650	WWOX
4046481	ING5
2653840	PIK3CA
3636879	UBE2Q2P1
2735759	MMRN1
2326157	FAM54B
3489418	SETDB2
3587722	RYR3
2686602	IMPG2
3849865	FBXL12
2932360	RBM16
3112584	SLC30A8
2391687	NADK
3718791	TAF15
3276421	KIN
3669634	CLEC3A
2719361	CPEB2
2408062	BMP8B
3538555	PPM1A
3079803	PRKAG2
2358906	PSMB4
3128954	TRIM35
3718775	C17orf50
3866231	STRN4
3456630	CBX5
3882614	C20orf144
3391093	ALG9
3505781	PARP4
3751541	GIT1
2539125	CMPK2
3931765	ERG
2997875	TXNDC3
3260018	ZFYVE27
3817072	GIPC3
3735151	ITGB4
4030063	USP9Y
2326126	SEPN1
3702382	TAF1C
3063406	CYP3A5
3292779	SLC25A16
3096171	POLB
3374698	OSBP
3718762	RASL10B
2408041	HPCAL4
3620457	VPS39
2834025	RBM27
2948713	RDBP
2522728	CASP8
2621032	PTH1R
3194470	EGFL7
3751524	ABHD15
3833443	PLD3
2473571	RAB10
2555490	XPO1
3260001	MARVELD1
2391647	SSU72
3112543	UTP23
3407453	PDE3A
2408028	NT5C1A
3554906	TMEM121
3980887	NONO
2752085	NBLA00301
3014229	BRI3
2768468	FRYL
3014227	BHLHA15
2440784	MPZ
3456592	SMUG1
3702352	HSDL1
3817040	HMG20B
3128911	STMN4
3079756	RHEB
2342475	LHX8
2948683	SFTA2
3259978	PI4K2A
3063368	FAM200A
2358855	ZNF687
3489350	CDADC1
3620421	PLA2G4F
3849797	ZNF561
2522693	CASP10
3309124	C10orf46
3735107	SAP30BP
3980867	GJB1
3440192	DCP1B
3292735	SLC25A16
3325503	RCN1
2899519	ABT1
3243581	LOC84856
3833402	MAP3K10
2620985	TMIE
3030585	ZNF783
3309112	PRLHR
3210808	GNAQ
3259959	C10orf62
3489335	MLNR
3358262	DEAF1
3391029	PPP2R1B
3522101	RNF113B
3554868	C14orf80
2899506	HMGN4
2407985	HEYL
3276337	ITIH5
3735089	LOC643008
3571248	ZFYVE1
3669552	VAT1L
3849773	ZNF121
2375212	PPP1R12B
3800619	ROCK1
3079722	CRYGN
3063337	ZNF394
2440744	NR1I3
2817576	THBS4
2948648	
3751463	NUFIP2
3538470	C14orf135
3604006	ARNT2
2358821	PSMD4
3882533	CBFA2T2
3554851	CRIP1
3980835	NLGN3
3030562	ZNF212
2326049	MAN1C1
3259937	DHDPSL
3358241	SCT
3898913	LOC100131642
2997789	GPR141
3620380	PLA2G4D
3816988	FZR1
3096092	IKBKB
3194395	C9orf163
2440730	APOA2
3718682	AP2B1
3849752	ZNF426
3145240	C8orf37
3866135	PRKD2
3227159	FNBP1
2948630	IER3
3702293	MBTPS1
2899473	BTN1A1
3259920	ANKRD2
3784208	DTNA
2866704	ARRDC3
3948047	PARVG
3014159	LMTK2
2768396	TEC
2620937	TDGF1
2752006	SAP30
3866117	DACT3
2833924	SH3RF2
3653123	PRKCB
2326018	LDLRAP1
3554818	CRIP2
3849730	ZNF560
2407934	PABPC4
2440700	ADAMTS4
2932219	OPRM1
3866106	GNG8
2686458	ABI3BP
3358201	CDHR5
2522616	CFLAR
2342391	TYW3
3079671	WDR86
2915828	NT5E
