REPORTER_ID	GENE_SYMBOL
7897396	PER3
7897397	PER3
7897398	PER3
7897399	PER3
7897400	PER3
7897402	PER3
7897405	PARK7
7897407	PARK7
7897409	PARK7
7897410	PARK7
7897411	PARK7
7897412	PARK7
7897413	PARK7
7897414	PARK7
7897415	PARK7
7897417	SLC45A1
7897418	SLC45A1
7897419	SLC45A1
7897420	SLC45A1
7897421	SLC45A1
7897425	HMGN2P17
7897427	CA6
7897428	CA6
7897432	CA6
7897433	CA6
7897434	CA6
7897437	CA6
7897438	CA6
7897440	
7897442	H6PD
7897443	H6PD
7897444	H6PD
7897445	H6PD
7897447	H6PD
7897448	H6PD
7897450	SPSB1
7897451	SPSB1
7897453	SPSB1
7897454	SPSB1
7897455	SPSB1
7897457	SPSB1
7897458	SPSB1
7897459	SPSB1
7897462	SLC25A33
7897463	SLC25A33
7897464	SLC25A33
7897465	SLC25A33
7897466	SLC25A33
7897467	
7897468	SLC25A33
7897470	TMEM201
7897471	TMEM201
7897472	TMEM201
7897473	TMEM201
7897474	TMEM201
7897475	TMEM201
7897479	TMEM201
7897480	TMEM201
7897481	TMEM201
7897483	PIK3CD
7897484	PIK3CD
7897485	PIK3CD
7897486	PIK3CD
7897487	PIK3CD
7897488	PIK3CD
7897489	PIK3CD
7897490	PIK3CD
7897491	PIK3CD
7897492	PIK3CD
7897493	PIK3CD
7897494	PIK3CD
7897495	PIK3CD
7897496	PIK3CD
7897497	PIK3CD
7897498	PIK3CD
7897499	PIK3CD
7897500	PIK3CD
7897501	PIK3CD
7897502	PIK3CD
7897503	PIK3CD
7897504	PIK3CD
7897505	PIK3CD
7897506	PIK3CD
7897507	PIK3CD
7897508	PIK3CD
7897510	NMNAT1
7897511	NMNAT1
7897512	NMNAT1
7897513	NMNAT1
7897514	NMNAT1
7897515	NMNAT1
7897516	NMNAT1
7897517	NMNAT1
7897519	NMNAT1
7897521	
7897523	RBP7
7897524	RBP7
7897525	RBP7
7897526	RBP7
7897528	UBE4B
7897529	UBE4B
7897530	UBE4B
7897531	UBE4B
7897532	UBE4B
7897533	UBE4B
7897534	UBE4B
7897535	UBE4B
7897536	UBE4B
7897537	UBE4B
7897538	UBE4B
7897539	UBE4B
7897540	UBE4B
7897541	UBE4B
7897542	UBE4B
7897543	UBE4B
7897544	UBE4B
7897545	UBE4B
7897546	UBE4B
7897547	UBE4B
7897548	UBE4B
7897549	UBE4B
7897550	UBE4B
7897551	UBE4B
7897552	UBE4B
7897553	UBE4B
7897554	UBE4B
7897555	UBE4B
7897556	UBE4B
7897557	UBE4B
7897558	UBE4B
7897560	
7897563	KIF1B
7897564	KIF1B
7897566	KIF1B
7897567	KIF1B
7897568	KIF1B
7897569	KIF1B
7897570	KIF1B
7897571	KIF1B
7897572	KIF1B
7897573	KIF1B
7897574	KIF1B
7897575	KIF1B
7897576	KIF1B
7897577	KIF1B
7897578	KIF1B
7897579	KIF1B
7897580	KIF1B
7897581	KIF1B
7897582	KIF1B
7897583	KIF1B
7897584	KIF1B
7897585	KIF1B
7897586	KIF1B
7897587	KIF1B
7897592	KIF1B
7897593	KIF1B
7897594	KIF1B
7897595	KIF1B
7897596	KIF1B
7897597	KIF1B
7897598	KIF1B
7897599	KIF1B
7897600	KIF1B
7897601	KIF1B
7897602	KIF1B
7897603	KIF1B
7897604	KIF1B
7897605	KIF1B
7897606	KIF1B
7897607	KIF1B
7897608	KIF1B
7897609	KIF1B
7897610	KIF1B
7897611	KIF1B
7897612	KIF1B
7897613	KIF1B
7897614	KIF1B
7897615	KIF1B
7897616	KIF1B
7897619	KIF1B
7897621	PGD
7897622	PGD
7897623	PGD
7897624	PGD
7897625	PGD
7897626	PGD
7897627	PGD
7897628	PGD
7897629	PGD
7897630	PGD
7897631	PGD
7897649	PEX14
7897650	PEX14
7897651	PEX14
7897652	PEX14
7897653	PEX14
7897654	PEX14
7897655	PEX14
7897656	PEX14
7897657	PEX14
7897658	PEX14
7897659	PEX14
7897660	PEX14
7897662	
7897665	TARDBP
7897666	TARDBP
7897667	TARDBP
7897668	TARDBP
7897669	TARDBP
7897670	TARDBP
7897673	TARDBP
7897674	TARDBP
7897677	ANGPTL7
7897678	ANGPTL7
7897679	ANGPTL7
7897680	ANGPTL7
7897681	ANGPTL7
7897684	
7897686	UBIAD1
7897687	UBIAD1
7897688	UBIAD1
7897689	UBIAD1
7897690	UBIAD1
7897692	PTCHD2
7897693	PTCHD2
7897694	PTCHD2
7897695	PTCHD2
7897696	PTCHD2
7897697	PTCHD2
7897698	PTCHD2
7897699	PTCHD2
7897700	PTCHD2
7897701	PTCHD2
7897702	PTCHD2
7897703	PTCHD2
7897704	PTCHD2
7897705	PTCHD2
7897706	PTCHD2
7897707	PTCHD2
7897709	PTCHD2
7897710	PTCHD2
7897712	PTCHD2
7897713	PTCHD2
7897715	FBXO44
7897716	FBXO44
7897718	FBXO44
7897720	FBXO44
7897721	FBXO44
7897722	FBXO44
7897723	FBXO44
7897724	FBXO44
7897725	FBXO44
7897726	FBXO44
7897727	FBXO44
7897729	FBXO6
7897730	FBXO6
7897731	FBXO6
7897732	FBXO6
7897733	FBXO6
7897734	FBXO6
7897735	FBXO6
7897736	FBXO6
7897738	C1orf187
7897739	C1orf187
7897740	C1orf187
7897741	C1orf187
7897743	C1orf187
7897744	C1orf187
7897746	AGTRAP
7897747	AGTRAP
7897748	AGTRAP
7897749	AGTRAP
7897750	AGTRAP
7897751	AGTRAP
7897752	AGTRAP
7897775	CLCN6
7897776	CLCN6
7897777	CLCN6
7897778	CLCN6
7897779	CLCN6
7897780	CLCN6
7897781	CLCN6
7897782	CLCN6
7897783	CLCN6
7897784	CLCN6
7897785	CLCN6
7897786	CLCN6
7897787	CLCN6
7897788	CLCN6
7897789	CLCN6
7897790	CLCN6
7897791	CLCN6
7897792	CLCN6
7897793	CLCN6
7897794	CLCN6
7897795	CLCN6
7897796	CLCN6
7897797	CLCN6
7897799	CLCN6
7897800	CLCN6
7897804	PLOD1
7897805	PLOD1
7897806	PLOD1
7897807	PLOD1
7897808	PLOD1
7897809	PLOD1
7897810	PLOD1
7897811	PLOD1
7897812	PLOD1
7897813	PLOD1
7897814	PLOD1
7897815	PLOD1
7897816	PLOD1
7897817	PLOD1
7897818	PLOD1
7897819	PLOD1
7897820	PLOD1
7897821	PLOD1
7897822	PLOD1
7897823	PLOD1
7897825	MFN2
7897826	MFN2
7897827	MFN2
7897828	MFN2
7897829	MFN2
7897830	MFN2
7897831	MFN2
7897832	MFN2
7897833	MFN2
7897834	MFN2
7897835	MFN2
7897836	MFN2
7897837	MFN2
7897838	MFN2
7897839	MFN2
7897840	MFN2
7897841	MFN2
7897842	MFN2
7897843	MFN2
7897844	MFN2
7897845	MFN2
7897846	MFN2
7897847	MFN2
7897848	MFN2
7897850	MIIP
7897851	MIIP
7897852	MIIP
7897853	MIIP
7897854	MIIP
7897855	MIIP
7897856	MIIP
7897857	MIIP
7897858	MIIP
7897859	MIIP
7897861	TNFRSF8
7897862	TNFRSF8
7897863	TNFRSF8
7897864	TNFRSF8
7897866	TNFRSF8
7897867	TNFRSF8
7897868	TNFRSF8
7897869	TNFRSF8
7897870	TNFRSF8
7897873	TNFRSF8
7897874	TNFRSF8
7897875	TNFRSF8
7897876	TNFRSF8
7897878	TNFRSF1B
7897879	TNFRSF1B
7897880	TNFRSF1B
7897881	TNFRSF1B
7897882	TNFRSF1B
7897883	TNFRSF1B
7897884	TNFRSF1B
7897885	TNFRSF1B
7897886	TNFRSF1B
7897887	TNFRSF1B
7897889	TNFRSF1B
7897934	VPS13D
7897954	SNORA59B
7897956	AADACL4
7897957	AADACL4
7897958	AADACL4
7897959	AADACL4
7897961	AADACL3
7897962	AADACL3
7897963	AADACL3
7897967	C1orf158
7897968	C1orf158
7897969	C1orf158
7897970	C1orf158
7897971	C1orf158
7897972	C1orf158
7897975	PRAMEF12
7897976	PRAMEF12
7897977	PRAMEF12
7897979	PRAMEF14
7897980	PRAMEF14
7897981	PRAMEF1
7897983	PRAMEF1
7897984	PRAMEF1
7897985	PRAMEF1
7897988	PRAMEF2
7897989	PRAMEF2
7897990	PRAMEF2
7897992	PRAMEF7
7897993	PRAMEF7
7897994	PRAMEF7
7897996	
7897998	PRAMEF3
7897999	PRAMEF3
7898000	PRAMEF3
