REPORTER ID	GENE SYMBOL
EAM237	hsa-miR-19b
EAM304	hsa-miR-200a
EAM305	hsa-miR-200b
JLA216	hsa-miR-200c
EAM241	hsa-miR-203
EAM242	hsa-miR-204
EAM243	hsa-miR-205
EAM308	hsa-miR-206
EAM310	hsa-miR-208a
EAM240	hsa-miR-20a
EAM244	hsa-miR-21
EAM245	hsa-miR-210
EAM247	hsa-miR-212
EAM248	hsa-mir-181a
EAM249	hsa-miR-214
EAM251	hsa-miR-216a
EAM253	hsa-miR-218
EAM254	hsa-miR-219-5p
EAM255	hsa-miR-22
EAM257	hsa-miR-221
EAM258	hsa-miR-222
EAM259	hsa-miR-223
EAM260	hsa-miR-23a
EAM261	hsa-miR-23b
EAM262	hsa-miR-24
EAM324	hsa-miR-25
EAM263	hsa-miR-26a
EAM160	hsa-miR-26b
EAM325	hsa-miR-27a
EAM264	hsa-miR-27b
EAM161	hsa-miR-28-5p
EAM326	hsa-miR-296-5p
EAM327	hsa-miR-299-5p
EAM268	hsa-mir-29a
EAM119	hsa-miR-29b
EAM279	hsa-miR-29c
EAM328	hsa-miR-301a
EAM280	hsa-mir-30a
EAM330	hsa-miR-30a
EAM270	hsa-miR-30b
EAM271	hsa-miR-30c
EAM272	hsa-miR-30d
EAM331	hsa-miR-30e
EAM332	hsa-miR-31
EAM333	hsa-miR-32
EAM175	hsa-miR-320a
EAM358	hsa-miR-323-3p
EAM359	hsa-miR-324-3p
EAM133	hsa-miR-324-5p
EAM361	hsa-miR-326
EAM362	hsa-miR-328
JLA223	hsa-miR-33a
EAM365	hsa-miR-331-3p
EAM385	hsa-miR-335
EAM367	hsa-miR-338-3p
EAM368	hsa-miR-339-5p
EAM369	mmu-miR-340-3p
EAM371	hsa-miR-342-3p
EAM275	hsa-miR-34a
EAM336	hsa-miR-34c-5p
JLA94	hsa-miR-365
JLA103	hsa-miR-424
JLA93	hsa-miR-431
JLA92	hsa-miR-433
JLA99	hsa-miR-448
JLA96	hsa-miR-449a
JLA95	hsa-mir-450a
JLA5	hsa-miR-451
EAM109	hsa-miR-7
EAM276	hsa-miR-9
EAM131	hsa-miR-92a
EAM337	hsa-miR-93
EAM277	hsa-miR-96
EAM278	hsa-miR-98
EAM121	hsa-miR-99a
JLA91	hsa-miR-99b
JLA73	hsa-miR-151-5p
JLA39	hsa-let-7g
JLA74	hsa-mir-18a
JLA69	hsa-miR-193a-5p
JLA24	hsa-mir-19a
JLA77	hsa-mir-19b
JLA49	hsa-mir-222
JLA79	hsa-mir-23a
JLA53	hsa-mir-24
JLA34	hsa-mir-26b
JLA31	hsa-miR-28-3p
JLA38	hsa-mir-29b
JLA85	hsa-mir-30d
JLA81	hsa-miR-339-3p
JLA23	hsa-miR-342-5p
JLA12	hsa-miR-362-5p
JLA20	hsa-miR-369-5p
JLA82	hsa-miR-423-5p
JLA83	hsa-miR-425
JLA66	hsa-miR-432
JLA3	hsa-miR-495
JLA55	hsa-mir-503
JLA57	hsa-mir-505
JLA44	hsa-miR-515-3p
JLA70	hsa-miR-515-5p
JLA27	hsa-miR-516b
JLA26	hsa-miR-517a
JLA40	hsa-miR-518a-3p
JLA28	hsa-miR-518b
JLA6	hsa-mir-518e
JLA7	hsa-miR-519a
JLA29	hsa-mir-519d
JLA17	hsa-mir-520c
JLA10	hsa-miR-521
JLA2	hsa-miR-522
JLA41	hsa-miR-523
JLA35	hsa-miR-519c-5p
JLA36	hsa-mir-527
JLA84	hsa-mir-92a
JLA65	hsa-miR-942
JLA46	
JLA45	hsa-mir-146b
JLA61	hsa-mir-1307
JLA16	hsa-mir-1307
JLA58	hsa-miR-483-3p
JLA11	hsa-miR-483-5p
JLA25	
JLA1	hsa-miR-618
JLA4	hsa-miR-543
JLA47	hsa-miR-551b
JLA19	hsa-miR-1185
JLA54	hsa-mir-487a
JLA59	hsa-miR-484
JLA52	hsa-miR-33b
JLA56	hsa-miR-1323
JLA37	hsa-miR-874
JLA50	
JLA8	hsa-mir-527
JLA64	hsa-miR-1283
JLA71	hsa-miR-516a-5p
JLA33	hsa-mir-519a
JLA48	
JLA32	
JLA51	hsa-miR-877
JLA63	hsa-miR-542-5p
JLA42	
JLA43	hsa-miR-590-5p
JLA22	hsa-mir-671
JLA60	hsa-miR-486-5p
