REPORTER ID 	miRNA ID
A_25_P00010019	hsa-miR-329
A_25_P00010459	hsa-miR-660-5p
A_25_P00010460	hsa-miR-660-5p
A_25_P00010465	hsa-miR-34b-5p
A_25_P00010467	hsa-miR-15a-5p
A_25_P00010469	hsa-miR-10a-5p
A_25_P00010470	hsa-miR-10a-5p
A_25_P00010471	hsa-miR-99a-5p
A_25_P00010472	hsa-miR-99a-5p
A_25_P00010474	hsa-miR-100-5p
A_25_P00010475	hsa-miR-100-5p
A_25_P00010490	hsa-miR-150-5p
A_25_P00010499	hsa-miR-515-5p
A_25_P00010502	hsa-miR-500a-3p
A_25_P00010503	hsa-miR-205-5p
A_25_P00010504	hsa-miR-205-5p
A_25_P00010505	hsa-miR-302c-5p
A_25_P00010506	hsa-miR-302c-5p
A_25_P00010514	hsa-miR-577
A_25_P00010528	hsa-miR-206
A_25_P00010529	hsa-miR-206
A_25_P00010531	hsa-miR-432-5p
A_25_P00010532	hsa-miR-432-5p
A_25_P00010533	hsa-miR-614
A_25_P00010534	hsa-miR-614
A_25_P00010535	hsa-miR-614
A_25_P00010536	hsa-miR-302c-3p
A_25_P00010537	hsa-miR-302c-3p
A_25_P00010538	hsa-miR-302c-3p
A_25_P00010539	hsa-miR-324-3p
A_25_P00010540	hsa-miR-324-3p
A_25_P00010547	hsa-miR-141-3p
A_25_P00010548	hsa-miR-141-3p
A_25_P00010560	hsa-miR-520e
A_25_P00010561	hsa-miR-520e
A_25_P00010562	hsa-miR-520e
A_25_P00010563	hsa-miR-520b
A_25_P00010564	hsa-miR-520b
A_25_P00010578	hsa-miR-151a-3p
A_25_P00010583	hsa-miR-154-5p
A_25_P00010584	hsa-miR-154-5p
A_25_P00010585	hsa-miR-382-5p
A_25_P00010586	hsa-miR-382-5p
A_25_P00010588	hsa-miR-132-3p
A_25_P00010589	hsa-miR-132-3p
A_25_P00010597	hsa-miR-99b-5p
A_25_P00010599	hsa-miR-16-5p
A_25_P00010600	hsa-miR-126-5p
A_25_P00010604	hsa-miR-411-5p
A_25_P00010605	hsa-miR-411-5p
A_25_P00010607	hsa-miR-140-5p
A_25_P00010610	hsa-miR-93-5p
A_25_P00010611	hsa-miR-93-5p
A_25_P00010612	hsa-miR-20a-5p
A_25_P00010613	hsa-miR-20a-5p
A_25_P00010614	hsa-miR-20b-5p
A_25_P00010615	hsa-miR-20b-5p
A_25_P00010616	hsa-miR-137
A_25_P00010617	hsa-miR-137
A_25_P00010618	hsa-miR-302b-3p
A_25_P00010619	hsa-miR-302b-3p
A_25_P00010620	hsa-miR-302b-3p
A_25_P00010621	hsa-miR-302b-3p
A_25_P00010628	hsa-miR-203a
A_25_P00010629	hsa-miR-203a
A_25_P00010632	hsa-miR-571
A_25_P00010633	hsa-miR-571
