REPORTER_ID	GENE_SYMBOL
8145317	ADAMDEC1
8069676	ADAMTS1
8033635	ADAMTS10
8111387	ADAMTS12
8159036	ADAMTS13
7928147	ADAMTS14
7945232	ADAMTS15
8104321	ADAMTS16
7991516	ADAMTS17
8002941	ADAMTS18
8107823	ADAMTS19
8116272	ADAMTS2
7962384	ADAMTS20
8100870	ADAMTS3
7921821	ADAMTS4
8069689	ADAMTS5
8112342	ADAMTS6
7990736	ADAMTS7
7952752	ADAMTS8
8088560	ADAMTS9
8154491	ADAMTSL1
8154512	ADAMTSL1
8159086	ADAMTSL2
7985522	ADAMTSL3
7905233	ADAMTSL4
7919743	ADAMTSL4
8032249	ADAMTSL5
8137680	ADAP1
8006214	ADAP2
7920531	ADAR
8069178	ADARB1
7931764	ADARB2
8002904	ADAT1
8129963	ADAT2
8024356	ADAT3
7899851	ADC
7976000	ADCK1
8136591	ADCK2
7910164	ADCK3
8036938	ADCK4
8148850	ADCK5
8132667	ADCY1
7922058	ADCY10
8104394	ADCY2
8050766	ADCY3
7978285	ADCY4
8090070	ADCY5
7962842	ADCY6
7995492	ADCY7
8152902	ADCY8
7999079	ADCY9
8019851	ADCYAP1
8132151	ADCYAP1R1
8093643	ADD1
8052882	ADD2
7930380	ADD3
8101874	ADH1A
8101881	ADH1B
8101893	ADH1C
8101852	ADH4
8101844	ADH5
8101862	ADH6
8101904	ADH7
8146687	ADHFE1
8050071	ADI1
8062527	ADIG
8084710	ADIPOQ
7923503	ADIPOR1
7953021	ADIPOR2
7928471	ADK
7938390	ADM
8074063	ADM2
8067011	ADNP
8021914	ADNP2
7927767	ADO
7908907	ADORA1
8071899	ADORA2A
8005134	ADORA2B
7918533	ADORA3
7990231	ADPGK
8081880	ADPRH
7972902	ADPRHL1
7900087	ADPRHL2
8149885	ADRA1A
8109612	ADRA1B
8064779	ADRA1D
7930482	ADRA2A
8053869	ADRA2B
8093826	ADRA2C
7930627	ADRB1
8109086	ADRB2
8150249	ADRB3
7941797	ADRBK1
8072015	ADRBK2
8063893	ADRM1
8073242	ADSL
7925550	ADSS
7977273	ADSSL1
8132557	AEBP1
7954279	AEBP2
7985767	AEN
8032576	AES
8094030	AFAP1
8099259	AFAP1
8094028	AFAP1-AS
8109120	AFAP1L1
7936439	AFAP1L2
8096224	AFF1
8170364	AFF2
8054254	AFF3
8114083	AFF4
7998083	AFG3L1P
8022342	AFG3L2
8095663	AFM
8010248	AFMID
8095646	AFP
8042291	AFTPH
8103834	AGA
8049448	AGAP1
7928890	AGAP11
7964499	AGAP2
8137381	AGAP3
7927231	AGAP4
7933252	AGAP4
7933405	AGAP4
7927305	AGAP5
7933427	AGAP5
7934451	AGAP5
7927552	AGAP6
7933574	AGAP7
7927353	AGAP9
7933331	AGAP9
7985741	AGBL1
7947947	AGBL2
8136370	AGBL3
7915971	AGBL4
8040774	AGBL5
8125341	AGER
8178771	AGER
8179967	AGER
8048847	AGFG1
8134834	AGFG2
8106429	AGGF1
8136614	AGK
7903239	AGL
7912659	AGMAT
8125328	AGPAT1
8178762	AGPAT1
8179958	AGPAT1
8165258	AGPAT2
8068952	AGPAT3
8130628	AGPAT4
8144378	AGPAT5
8146142	AGPAT6
8096116	AGPAT9
7985192	AGPHD1
8046604	AGPS
8138381	AGR2
8138392	AGR3
7896822	AGRN
8002051	AGRP
7924987	AGT
8162086	AGTPBP1
8083240	AGTR1
8169492	AGTR2
7897745	AGTRAP
8049737	AGXT
8111474	AGXT2
8102249	AGXT2L1
8116177	AGXT2L2
7925622	AHCTF1
8056220	AHCTF1
8065738	AHCY
7903803	AHCYL1
8136095	AHCYL2
7914103	AHDC1
8129728	AHI1
7948667	AHNAK
7981514	AHNAK2
8131614	AHR
8104180	AHRR
7975976	AHSA1
8042195	AHSA2
8084648	AHSG
7995237	AHSP
7960910	AICDA
7917148	AIDA
7924491	AIDA
8118158	AIF1
8177996	AIF1
8179276	AIF1
8158771	AIF1L
8175052	AIFM1
7934101	AIFM2
8071444	AIFM3
8122396	AIG1
8121277	AIM1
7913938	AIM1L
7921434	AIM2
8096718	AIMP1
8131374	AIMP2
7941927	AIP
8011912	AIPL1
8069037	AIRE
7897227	AJAP1
8164293	AK1
7914617	AK2
7916590	AK2
8159945	AK3
7902038	AK4
7962183	AK4
7902452	AK5
7976578	AK7
8008664	AKAP1
8013431	AKAP10
7968835	AKAP11
8122807	AKAP12
7985695	AKAP13
8169665	AKAP14
7960427	AKAP3
8172660	AKAP4
7975066	AKAP5
7973850	AKAP6
8122045	AKAP7
8035007	AKAP8
8035023	AKAP8L
8134122	AKAP9
8128777	AKD1
8128788	AKD1
8128795	AKD1
7900216	AKIRIN1
8128034	AKIRIN2
8163569	AKNA
7918235	AKNAD1
7901110	AKR1A1
8143054	AKR1B1
8136336	AKR1B10
7925918	AKR1C1
7931832	AKR1C2
7925929	AKR1C3
7925939	AKR1C4
7931840	AKR1CL1
8136459	AKR1D1
7925904	AKR1E2
7913156	AKR7A2
7904084	AKR7A2P1
7913146	AKR7A3
7913138	AKR7L
7981494	AKT1
8038477	AKT1S1
8036840	AKT2
7925531	AKT3
8001410	AKTIP
8163509	ALAD
8080184	ALAS1
8173135	ALAS2
8095628	ALB
8081431	ALCAM
8030321	ALDH16A1
7935230	ALDH18A1
8161755	ALDH1A1
7989199	ALDH1A2
7986446	ALDH1A3
8155327	ALDH1B1
8090314	ALDH1L1
7965979	ALDH1L2
7958784	ALDH2
8013384	ALDH3A1
8005638	ALDH3A2
7941961	ALDH3B1
7949882	ALDH3B2
7912975	ALDH4A1
8117207	ALDH5A1
7980098	ALDH6A1
8113773	ALDH7A1
8129695	ALDH8A1
7906988	ALDH9A1
7921970	ALDH9A1
7994737	ALDOA
7936923	ALDOAP2
8162884	ALDOB
8013660	ALDOC
7993071	ALG1
7954777	ALG10
7954789	ALG10B
7969228	ALG11
8076851	ALG12
8169412	ALG13
8169419	ALG13
7917896	ALG14
8090291	ALG1L
8162827	ALG2
8092457	ALG3
7971027	ALG5
7901915	ALG6
7950654	ALG8
7951633	ALG9
8051241	ALK
7980454	ALKBH1
7966183	ALKBH2
7939477	ALKBH3
8141757	ALKBH4
8005399	ALKBH5
8036242	ALKBH6
8025035	ALKBH7
7951467	ALKBH8
8040053	ALLC
8042737	ALMS1
8042761	ALMS1P
8004221	ALOX12
8012309	ALOX12B
8004201	ALOX12P2
8011680	ALOX15
8004784	ALOX15B
7927215	ALOX5
7968344	ALOX5AP
8012326	ALOXE3
8049137	ALPI
8096919	ALPK1
8023528	ALPK2
7985620	ALPK3
7898693	ALPL
8049123	ALPP
8049128	ALPPL2
8058295	ALS2
8086627	ALS2CL
8058238	ALS2CR11
8058203	ALS2CR12
8058258	ALS2CR4
8047577	ALS2CR8
7957452	ALX1
7918416	ALX3
7947563	ALX4
8014230	AMAC1
8020162	AMAC1L2
8144600	AMAC1L2
8004428	AMAC1L3
8111430	AMACR
8095519	AMBN
8163535	AMBP
7947652	AMBRA1
8121489	AMD1
7957654	AMDHD1
7992656	AMDHD2
8166006	AMELX
8177061	AMELY
8001477	AMFR
8024429	AMH
7955797	AMHR2
7952022	AMICA1
7918359	AMIGO1
7962579	AMIGO2
8087453	AMIGO3
8174496	AMMECR1
8055096	AMMECR1L
7977033	AMN
7962185	AMN1
8174576	AMOT
7943263	AMOTL1
8090852	AMOTL2
7918794	AMPD1
7903719	AMPD2
7938396	AMPD3
8139131	AMPH
8087419	AMT
8095508	AMTN
7903425	AMY1A
7903440	AMY1A
7918134	AMY1A
7903414	AMY2A
7903407	AMY2B
8131195	AMZ1
8009432	AMZ2
8017704	AMZ2P1
8043322	ANAPC1
8043349	ANAPC1
8053610	ANAPC1
8054437	ANAPC1
8054614	ANAPC1
8103005	ANAPC10
8010686	ANAPC11
8019687	ANAPC11
