REPORTER ID	GENE SYMBOL
ILMN_3167890	HS_100
ILMN_3166969	hsa-miR-324-5p
ILMN_3167745	hsa-miR-188-5p
ILMN_3167388	HS_27
ILMN_3167210	hsa-miR-502-5p
ILMN_3167366	hsa-miR-362-5p
ILMN_3167286	hsa-miR-639
ILMN_3168410	hsa-miR-425*
ILMN_3168417	hsa-miR-517a
ILMN_3168510	hsa-miR-517c
ILMN_3168022	hsa-miR-769-3p
ILMN_3168252	hsa-miR-516b
ILMN_3168054	HS_134
ILMN_3167299	hsa-miR-594:9.1
ILMN_3167179	hsa-miR-200a*
ILMN_3167329	HS_161
ILMN_3167731	hsa-miR-215
ILMN_3167612	HS_144
ILMN_3167485	hsa-miR-640
ILMN_3168102	hsa-miR-502-3p
ILMN_3167515	hsa-miR-586
ILMN_3168532	HS_123
ILMN_3168009	hsa-miR-620
ILMN_3167529	hsa-miR-183
ILMN_3167305	hsa-miR-652
ILMN_3168084	HS_269
ILMN_3167068	HS_220
ILMN_3167544	HS_286_a
ILMN_3167282	hsa-miR-584
ILMN_3167039	hsa-miR-568
ILMN_3166995	HS_215
ILMN_3168177	hsa-miR-299-3p
ILMN_3167393	hsa-miR-496
ILMN_3167127	hsa-miR-181a
ILMN_3168257	hsa-miR-181b
ILMN_3167271	hsa-miR-384
ILMN_3167287	hsa-miR-576-5p
ILMN_3168272	hsa-miR-544
ILMN_3168464	hsa-miR-514
ILMN_3168344	hsa-miR-363
ILMN_3168476	hsa-miR-25
ILMN_3167195	hsa-miR-367
ILMN_3166952	HS_211
ILMN_3168363	hsa-miR-509-3p
ILMN_3168227	hsa-miR-548d-3p
ILMN_3168221	hsa-miR-548c-3p
ILMN_3167646	hsa-miR-548a-3p
ILMN_3168073	hsa-miR-186
ILMN_3168225	hsa-miR-583
ILMN_3167109	hsa-miR-561
ILMN_3167219	hsa-miR-891a
ILMN_3167030	hsa-miR-548b-3p
ILMN_3168005	hsa-miR-26a
ILMN_3167848	hsa-miR-603
ILMN_3167896	hsa-miR-513:9.1
ILMN_3167197	HS_36.1
ILMN_3167396	HS_71.1
ILMN_3168251	HS_266.1
ILMN_3167439	hsa-miR-589*
ILMN_3168153	HS_97
ILMN_3166938	hsa-miR-424
ILMN_3167344	hsa-miR-338-3p
ILMN_3167038	hsa-miR-766
ILMN_3167776	HS_53
ILMN_3168310	HS_5.1
ILMN_3168404	hsa-miR-337:9.1
ILMN_3168305	HS_156
ILMN_3167389	HS_82.1
ILMN_3167533	HS_174.1
ILMN_3167579	HS_282
ILMN_3168433	HS_145.1
ILMN_3167034	hsa-miR-657
ILMN_3167200	hsa-miR-802
ILMN_3167141	hsa-miR-622
ILMN_3167491	hsa-miR-128b:9.1
ILMN_3168085	hsa-miR-128a:9.1
ILMN_3168116	hsa-miR-301a
ILMN_3167099	hsa-miR-130b
ILMN_3168497	hsa-miR-130a
ILMN_3168441	hsa-miR-449b
ILMN_3168509	hsa-miR-142-5p
ILMN_3168166	hsa-miR-485-3p
ILMN_3168361	hsa-miR-181a*
ILMN_3168399	hsa-miR-126*
ILMN_3168109	hsa-miR-1298
ILMN_3167488	HS_22.1
ILMN_3167666	hsa-miR-220a
ILMN_3167213	HS_107
ILMN_3168315	HS_166.1
ILMN_3168052	HS_250
ILMN_3167594	hsa-miR-662
ILMN_3168337	hsa-miR-488*
ILMN_3167976	hsa-miR-199a-5p
ILMN_3167259	hsa-miR-199b-5p
ILMN_3167058	HS_37
ILMN_3168159	HS_18
ILMN_3167061	HS_7
ILMN_3167611	hsa-miR-331-3p
ILMN_3168301	hsa-miR-339-5p
ILMN_3168421	HS_219
ILMN_3167172	HS_117
ILMN_3168262	hsa-miR-99b
ILMN_3168213	hsa-miR-99a
ILMN_3166998	hsa-miR-340*
ILMN_3167297	HS_176
ILMN_3167669	hsa-miR-325
ILMN_3167251	HS_55
ILMN_3168129	hsa-miR-517*
ILMN_3167080	HS_64
ILMN_3168190	HS_80
ILMN_3168453	HS_9
ILMN_3168180	hsa-miR-378*
ILMN_3167800	HS_140
ILMN_3167215	hsa-miR-370
ILMN_3167313	HS_200
ILMN_3167091	hsa-miR-205
ILMN_3168063	HS_182.1
ILMN_3168466	HS_77
ILMN_3168335	HS_221
ILMN_3167884	hsa-miR-518e:9.1
ILMN_3167858	HS_193
ILMN_3167534	HS_231
ILMN_3167356	HS_15.1
ILMN_3167766	HS_239
ILMN_3168458	HS_257
ILMN_3168135	HS_147
ILMN_3167391	hsa-miR-633
ILMN_3168284	hsa-miR-524-5p
ILMN_3167681	hsa-miR-221
ILMN_3167591	hsa-miR-554
ILMN_3168165	hsa-miR-342-3p
ILMN_3167893	hsa-miR-767-3p
ILMN_3168001	hsa-miR-520a-5p
ILMN_3168434	hsa-miR-1468
ILMN_3167877	HS_88
ILMN_3168047	HS_3
ILMN_3168132	HS_17
ILMN_3168214	HS_284.1
ILMN_3168194	hsa-miR-518f*
ILMN_3168075	hsa-miR-518e*
ILMN_3168032	HS_283_b
ILMN_3167337	hsa-miR-1229
ILMN_3167792	HS_197
ILMN_3168078	HS_32
ILMN_3167054	HS_49
ILMN_3167905	hsa-miR-326
ILMN_3168216	hsa-miR-760
ILMN_3168149	HS_110
ILMN_3167242	hsa-miR-573
ILMN_3167441	hsa-miR-192
ILMN_3167880	HS_255
ILMN_3167169	HS_127.1
ILMN_3167993	HS_157
ILMN_3167124	hsa-miR-191*
ILMN_3167914	hsa-miR-422a
ILMN_3167006	hsa-miR-378
ILMN_3167479	HS_81
ILMN_3168396	hsa-miR-671:9.1
ILMN_3168010	HS_70
ILMN_3167794	hsa-miR-432*
ILMN_3167944	hsa-miR-193b
ILMN_3168235	HS_169
ILMN_3168198	hsa-miR-328
ILMN_3167462	HS_21
ILMN_3168366	hsa-miR-193a-3p
ILMN_3167592	HS_2
ILMN_3167678	HS_159
ILMN_3167120	HS_136
ILMN_3168219	HS_105
ILMN_3168524	HS_203
ILMN_3167886	HS_35
ILMN_3168122	HS_24
ILMN_3167004	HS_160
ILMN_3167774	hsa-miR-210
ILMN_3166964	HS_95
ILMN_3167087	HS_177
ILMN_3168358	hsa-miR-578
ILMN_3168511	hsa-miR-635
ILMN_3168207	HS_133.1
ILMN_3167711	hsa-miR-30e*
ILMN_3167158	hsa-miR-30a*
ILMN_3167815	hsa-miR-570
ILMN_3168044	HS_92
ILMN_3168232	HS_16
ILMN_3168501	HS_30
ILMN_3168171	HS_40
ILMN_3168217	HS_206
ILMN_3168178	hsa-miR-493
ILMN_3167463	hsa-miR-373
ILMN_3166987	HS_14.1
ILMN_3167969	hsa-miR-409-3p
ILMN_3168393	hsa-miR-591
ILMN_3167952	HS_150
ILMN_3168265	hsa-miR-551a
ILMN_3166993	hsa-miR-551b
ILMN_3168060	HS_4.1
ILMN_3167532	hsa-miR-492
ILMN_3167015	HS_268
ILMN_3167280	HS_218
ILMN_3168195	HS_265.1
ILMN_3167894	hsa-miR-146b-5p
ILMN_3167854	HS_168
ILMN_3167148	hsa-miR-769-5p
ILMN_3167689	HS_31.1
ILMN_3167433	hsa-miR-575
ILMN_3167193	hsa-miR-610
ILMN_3168498	hsa-miR-590-5p
ILMN_3167750	HS_304_b
ILMN_3167795	HS_20
ILMN_3168097	hsa-miR-658
ILMN_3168049	hsa-miR-296-3p
ILMN_3167609	hsa-miR-515-3p
