Reporter ID	miRNA ID
A_25_P00014863	hsa-miR-202
A_25_P00013438	hsa-miR-138-1*
A_25_P00010853	hsa-miR-212
A_25_P00013675	hsa-miR-744*
A_25_P00012414	hsa-miR-422a
A_25_P00011700	hcmv-miR-US4
A_25_P00012417	hsa-miR-422a
A_25_P00011723	kshv-miR-K12-6-5p
A_25_P00013418	hsa-miR-143*
A_25_P00013083	hsa-miR-938
A_25_P00011984	hsa-let-7e
A_25_P00010470	hsa-miR-10a
A_25_P00010721	hsa-miR-496
A_25_P00011325	hsa-miR-558
A_25_P00014893	hsa-miR-539
A_25_P00010276	hsa-miR-376a
A_25_P00010371	hsa-miR-640
A_25_P00012682	hsa-miR-510
A_25_P00010287	hsa-miR-181c
A_25_P00010706	hsa-miR-485-5p
A_25_P00011734	kshv-miR-K12-5
A_25_P00011799	hsv1-miR-H1
A_25_P00010205	hsa-miR-22
A_25_P00013796	ebv-miR-BART7*
A_25_P00010366	hsa-miR-549
A_25_P00013643	hsa-miR-625*
A_25_P00013519	hsa-miR-367*
A_25_P00014870	hsa-miR-518e*
A_25_P00012700	hsa-miR-544
A_25_P00013515	hsa-miR-302d*
A_25_P00012035	hsa-miR-96
A_25_P00010397	hsa-miR-605
A_25_P00010138	hsa-miR-208a
A_25_P00012199	hsa-miR-153
A_25_P00011751	hcmv-miR-US33-5p
A_25_P00012951	hsa-miR-889
A_25_P00013815	ebv-miR-BART13*
A_25_P00012525	hsa-miR-519e
A_25_P00012230	hsa-miR-134
A_25_P00011255	hsa-miR-639
A_25_P00014844	hsa-miR-142-5p
A_25_P00010271	hsa-miR-532-5p
A_25_P00014973	hsa-miR-513c
A_25_P00010789	hsa-miR-369-5p
A_25_P00010799	hsa-miR-663
A_25_P00013328	hsa-miR-196a*
A_25_P00012030	hsa-miR-92a
A_25_P00010104	hsa-miR-299-3p
A_25_P00013480	hsa-miR-106b*
A_25_P00010508	hsa-miR-490-3p
A_25_P00011429	hsa-miR-758
A_25_P00012412	hsa-miR-196b
A_25_P00010539	hsa-miR-324-3p
A_25_P00012131	hsa-miR-223
A_25_P00010671	hsa-miR-326
A_25_P00012712	hsa-miR-556-5p
A_25_P00013422	hsa-miR-144*
A_25_P00013166	hsa-miR-19b-2*
A_25_P00012472	hsa-miR-488
A_25_P00011294	hsa-miR-561
A_25_P00013339	hsa-miR-218-1*
A_25_P00012337	hsa-miR-379
A_25_P00013412	hsa-miR-141*
A_25_P00010694	hsa-miR-512-5p
A_25_P00011050	hsa-miR-589*
A_25_P00012422	hsa-miR-423-3p
A_25_P00013242	hsa-miR-99a*
A_25_P00010130	hsa-miR-497
A_25_P00012204	hsa-miR-191
A_25_P00013373	hsa-miR-23b*
A_25_P00011790	ebv-miR-BART8
A_25_P00011244	hsa-miR-802
A_25_P00013158	hsa-miR-19a*
A_25_P00013043	hsa-miR-921
A_25_P00010408	hsa-miR-409-3p
A_25_P00011280	hsa-miR-618
A_25_P00010617	hsa-miR-137
A_25_P00011231	hsa-miR-769-3p
A_25_P00012070	hsa-miR-139-5p
A_25_P00014532	hsa-miR-192*
A_25_P00010959	hsa-miR-502-5p
A_25_P00014589	hsa-miR-125b-2*
A_25_P00013922	hsa-miR-30b
A_25_P00014876	hsa-miR-518c*
A_25_P00012300	hsa-miR-30e
A_25_P00012023	hsa-miR-32
A_25_P00010169	hsa-miR-520g
A_25_P00011609	hsa-miR-675
A_25_P00012305	hsa-miR-361-3p
A_25_P00012722	hsa-miR-570
A_25_P00010562	hsa-miR-520e
A_25_P00014891	hsa-miR-513a-3p
A_25_P00010584	hsa-miR-154
A_25_P00010048	hsa-miR-98
A_25_P00013662	hsa-miR-888*
A_25_P00011019	hsa-miR-632
A_25_P00012345	hsa-miR-330-5p
A_25_P00012717	hsa-miR-556-3p
A_25_P00012461	hsa-miR-483-3p
A_25_P00012324	hsa-miR-371-5p
A_25_P00013108	hsa-miR-297
A_25_P00012837	hsa-miR-548d-5p
A_25_P00010276	hsa-miR-376a
A_25_P00014346	hsa-miR-656
A_25_P00012714	hsa-miR-556-5p
A_25_P00012038	hsa-miR-101
A_25_P00014879	hsa-miR-520h
A_25_P00012505	hsa-miR-494
A_25_P00010386	hsa-miR-146b-5p
A_25_P00012613	hsa-miR-517c
A_25_P00014964	hsa-miR-1238
A_25_P00011404	hsa-miR-644
A_25_P00010316	hsa-miR-9*
A_25_P00013785	ebv-miR-BART19-5p
A_25_P00014494	hsa-miR-24-1*
A_25_P00013619	hsa-miR-551b*
A_25_P00012353	hsa-miR-342-5p
A_25_P00013338	hsa-miR-218-1*
A_25_P00013545	hsa-miR-340*
A_25_P00011963	hsa-miR-646
A_25_P00013788	ebv-miR-BART19-3p
A_25_P00010397	hsa-miR-605
A_25_P00011854	ebv-miR-BART13
A_25_P00011683	ebv-miR-BART3*
A_25_P00010115	hsa-miR-154*
A_25_P00013350	hsa-miR-222*
A_25_P00011069	hsa-miR-107
A_25_P00014927	hsa-miR-1226
A_25_P00012934	hsa-miR-220c
A_25_P00014849	hsa-miR-99b
A_25_P00011692	kshv-miR-K12-7
A_25_P00013134	hsa-let-7f-1*
A_25_P00010831	hsa-miR-629*
A_25_P00012508	hsa-miR-495
A_25_P00010514	hsa-miR-577
A_25_P00011291	hsa-miR-619
A_25_P00011055	hsa-miR-624*
A_25_P00013783	ebv-miR-BART18-3p
A_25_P00013081	hsa-miR-938
A_25_P00010201	hsa-miR-520a-3p
A_25_P00012838	hsa-miR-548d-5p
A_25_P00011964	hsa-miR-766
A_25_P00014151	hsa-miR-516a-5p
A_25_P00013410	hsa-miR-138-2*
A_25_P00012012	hsa-miR-29a
A_25_P00013718	ebv-miR-BART1-5p
A_25_P00012919	hsa-miR-874
A_25_P00010207	hsa-miR-592
A_25_P00015004	hsa-miR-1226*
A_25_P00012476	hsa-miR-490-5p
A_25_P00011728	hcmv-miR-US25-2-3p
A_25_P00010501	hsa-miR-500*
