REPORTER ID	GENE SYMBOL
hsa-miR-105	hsa-miR-105
hsa-miR-106a	hsa-miR-106a
hsa-miR-106b	hsa-miR-106b
hsa-miR-107	hsa-miR-107
hsa-miR-10a	hsa-miR-10a
hsa-miR-10b	hsa-miR-10b
hsa-miR-122a	hsa-miR-122a
hsa-miR-124a	hsa-miR-124a
hsa-miR-125a	hsa-miR-125a
hsa-miR-125b	hsa-miR-125b
hsa-miR-126	hsa-miR-126
hsa-miR-126*	hsa-miR-126*
hsa-miR-127	hsa-miR-127
hsa-miR-128a	hsa-miR-128a
hsa-miR-128b	hsa-miR-128b
hsa-miR-129	hsa-miR-129
hsa-miR-130a	hsa-miR-130a
hsa-miR-130b	hsa-miR-130b
hsa-miR-132	hsa-miR-132
hsa-miR-133a	hsa-miR-133a
hsa-miR-133b	hsa-miR-133b
hsa-miR-134	hsa-miR-134
hsa-miR-135a	hsa-miR-135a
hsa-miR-135b	hsa-miR-135b
hsa-miR-136	hsa-miR-136
hsa-miR-137	hsa-miR-137
hsa-miR-138	hsa-miR-138
hsa-miR-139	hsa-miR-139
hsa-miR-140	hsa-miR-140
hsa-miR-141	hsa-miR-141
hsa-miR-142-3p	hsa-miR-142-3p
hsa-miR-142-5p	hsa-miR-142-5p
hsa-miR-143	hsa-miR-143
hsa-miR-144	hsa-miR-144
hsa-miR-145	hsa-miR-145
hsa-miR-146a	hsa-miR-146a
hsa-miR-146b	hsa-miR-146b
hsa-miR-147	hsa-miR-147
hsa-miR-148a	hsa-miR-148a
hsa-miR-148b	hsa-miR-148b
hsa-miR-149	hsa-miR-149
hsa-miR-150	hsa-miR-150
hsa-miR-151	hsa-miR-151
hsa-miR-152	hsa-miR-152
hsa-miR-153	hsa-miR-153
hsa-miR-154	hsa-miR-154
hsa-miR-154*	hsa-miR-154*
hsa-miR-155	hsa-miR-155
hsa-miR-15a	hsa-miR-15a
hsa-miR-15b	hsa-miR-15b
hsa-miR-16	hsa-miR-16
hsa-miR-17-3p	hsa-miR-17-3p
hsa-miR-17-5p	hsa-miR-17-5p
hsa-miR-181a	hsa-miR-181a
hsa-miR-181b	hsa-miR-181b
hsa-miR-181c	hsa-miR-181c
hsa-miR-181d	hsa-miR-181d
hsa-miR-182	hsa-miR-182
hsa-miR-182*	hsa-miR-182*
hsa-miR-183	hsa-miR-183
hsa-miR-184	hsa-miR-184
hsa-miR-185	hsa-miR-185
hsa-miR-186	hsa-miR-186
hsa-miR-187	hsa-miR-187
hsa-miR-188	hsa-miR-188
hsa-miR-189	hsa-miR-189
hsa-miR-18a	hsa-miR-18a
hsa-miR-18a*	hsa-miR-18a*
hsa-miR-18b	hsa-miR-18b
hsa-miR-190	hsa-miR-190
hsa-miR-191	hsa-miR-191
hsa-miR-191	hsa-miR-191
hsa-miR-192	hsa-miR-192
hsa-miR-193a	hsa-miR-193a
hsa-miR-193b	hsa-miR-193b
hsa-miR-194	hsa-miR-194
hsa-miR-195	hsa-miR-195
hsa-miR-196a	hsa-miR-196a
hsa-miR-196b	hsa-miR-196b
hsa-miR-197	hsa-miR-197
hsa-miR-198	hsa-miR-198
hsa-miR-199a	hsa-miR-199a
hsa-miR-199a	hsa-miR-199a
hsa-miR-199b	hsa-miR-199b
hsa-miR-19a	hsa-miR-19a
hsa-miR-19b	hsa-miR-19b
hsa-miR-200a	hsa-miR-200a
hsa-miR-200a	hsa-miR-200a
hsa-miR-200b	hsa-miR-200b
hsa-miR-200c	hsa-miR-200c
hsa-miR-202	hsa-miR-202
hsa-miR-202	hsa-miR-202
hsa-miR-203	hsa-miR-203
hsa-miR-204	hsa-miR-204
hsa-miR-205	hsa-miR-205
hsa-miR-206	hsa-miR-206
hsa-miR-208	hsa-miR-208
hsa-miR-20a	hsa-miR-20a
hsa-miR-20b	hsa-miR-20b
hsa-miR-21	hsa-miR-21
hsa-miR-210	hsa-miR-210
hsa-miR-211	hsa-miR-211
hsa-miR-212	hsa-miR-212
hsa-miR-213	hsa-miR-213
hsa-miR-214	hsa-miR-214
hsa-miR-215	hsa-miR-215
hsa-miR-216	hsa-miR-216
hsa-miR-217	hsa-miR-217
hsa-miR-218	hsa-miR-218
hsa-miR-219	hsa-miR-219
hsa-miR-22	hsa-miR-22
hsa-miR-220	hsa-miR-220
hsa-miR-221	hsa-miR-221
hsa-miR-222	hsa-miR-222
hsa-miR-223	hsa-miR-223
hsa-miR-224	hsa-miR-224
hsa-miR-23a	hsa-miR-23a
hsa-miR-23b	hsa-miR-23b
hsa-miR-24	hsa-miR-24
hsa-miR-25	hsa-miR-25
hsa-miR-26a	hsa-miR-26a
hsa-miR-26b	hsa-miR-26b
hsa-miR-27a	hsa-miR-27a
hsa-miR-27b	hsa-miR-27b
hsa-miR-28	hsa-miR-28
hsa-miR-296	hsa-miR-296
hsa-miR-299-3p	hsa-miR-299-3p
hsa-miR-299-5p	hsa-miR-299-5p
hsa-miR-29a	hsa-miR-29a
hsa-miR-29b	hsa-miR-29b
hsa-miR-29c	hsa-miR-29c
hsa-miR-301	hsa-miR-301
hsa-miR-302a	hsa-miR-302a
hsa-miR-302a	hsa-miR-302a
hsa-miR-302b	hsa-miR-302b
hsa-miR-302b*	hsa-miR-302b*
hsa-miR-302c	hsa-miR-302c
hsa-miR-302c	hsa-miR-302c
hsa-miR-302d	hsa-miR-302d
hsa-miR-30a-3p	hsa-miR-30a-3p
hsa-miR-30a-5p	hsa-miR-30a-5p
hsa-miR-30b	hsa-miR-30b
hsa-miR-30c	hsa-miR-30c
hsa-miR-30d	hsa-miR-30d
hsa-miR-30e-3p	hsa-miR-30e-3p
hsa-miR-30e-5p	hsa-miR-30e-5p
hsa-miR-31	hsa-miR-31
hsa-miR-32	hsa-miR-32
hsa-miR-320	hsa-miR-320
hsa-miR-323	hsa-miR-323
hsa-miR-324-3p	hsa-miR-324-3p
hsa-miR-324-5p	hsa-miR-324-5p
hsa-miR-325	hsa-miR-325
hsa-miR-326	hsa-miR-326
hsa-miR-328	hsa-miR-328
hsa-miR-329	hsa-miR-329
hsa-miR-33	hsa-miR-33
hsa-miR-330	hsa-miR-330
hsa-miR-331	hsa-miR-331
hsa-miR-335	hsa-miR-335
hsa-miR-337	hsa-miR-337
hsa-miR-338	hsa-miR-338
hsa-miR-339	hsa-miR-339
hsa-miR-33b	hsa-miR-33b
hsa-miR-340	hsa-miR-340
hsa-miR-342	hsa-miR-342
hsa-miR-345	hsa-miR-345
hsa-miR-346	hsa-miR-346
hsa-miR-34a	hsa-miR-34a
hsa-miR-34b	hsa-miR-34b
hsa-miR-34c	hsa-miR-34c
hsa-miR-361	hsa-miR-361
hsa-miR-362	hsa-miR-362
hsa-miR-363	hsa-miR-363
hsa-miR-363	hsa-miR-363
hsa-miR-365	hsa-miR-365
hsa-miR-367	hsa-miR-367
hsa-miR-368	hsa-miR-368
hsa-miR-369-3p	hsa-miR-369-3p
hsa-miR-369-5p	hsa-miR-369-5p
hsa-miR-370	hsa-miR-370
hsa-miR-371	hsa-miR-371
hsa-miR-372	hsa-miR-372
hsa-miR-373	hsa-miR-373
hsa-miR-373	hsa-miR-373
hsa-miR-374	hsa-miR-374
hsa-miR-375	hsa-miR-375
hsa-miR-376a	hsa-miR-376a
hsa-miR-376a*	hsa-miR-376a*
hsa-miR-376b	hsa-miR-376b
hsa-miR-377	hsa-miR-377
hsa-miR-378	hsa-miR-378
hsa-miR-379	hsa-miR-379
hsa-miR-380-3p	hsa-miR-380-3p
hsa-miR-380-5p	hsa-miR-380-5p
hsa-miR-381	hsa-miR-381
hsa-miR-382	hsa-miR-382
hsa-miR-383	hsa-miR-383
hsa-miR-384	hsa-miR-384
hsa-miR-409-3p	hsa-miR-409-3p
hsa-miR-409-5p	hsa-miR-409-5p
hsa-miR-410	hsa-miR-410
hsa-miR-411	hsa-miR-411
hsa-miR-412	hsa-miR-412
hsa-miR-421	hsa-miR-421
hsa-miR-422a	hsa-miR-422a
hsa-miR-422b	hsa-miR-422b
hsa-miR-423	hsa-miR-423
hsa-miR-424	hsa-miR-424
hsa-miR-425	hsa-miR-425
hsa-miR-425-5p	hsa-miR-425-5p
hsa-miR-429	hsa-miR-429
hsa-miR-431	hsa-miR-431
hsa-miR-432	hsa-miR-432
hsa-miR-432*	hsa-miR-432*
hsa-miR-433	hsa-miR-433
hsa-miR-448	hsa-miR-448
hsa-miR-449	hsa-miR-449
hsa-miR-449b	hsa-miR-449b
hsa-miR-450	hsa-miR-450
hsa-miR-451	hsa-miR-451
hsa-miR-452	hsa-miR-452
hsa-miR-452	hsa-miR-452
hsa-miR-453	hsa-miR-453
hsa-mir-454-3p	hsa-mir-454-3p
hsa-miR-454-5p	hsa-miR-454-5p
hsa-miR-455	hsa-miR-455
hsa-miR-483	hsa-miR-483
hsa-miR-484	hsa-miR-484
hsa-miR-485-3p	hsa-miR-485-3p
hsa-miR-485-5p	hsa-miR-485-5p
hsa-miR-486	hsa-miR-486
hsa-miR-487a	hsa-miR-487a
hsa-miR-487b	hsa-miR-487b
hsa-miR-488	hsa-miR-488
hsa-miR-489	hsa-miR-489
hsa-miR-490	hsa-miR-490
hsa-miR-491	hsa-miR-491
hsa-miR-492	hsa-miR-492
hsa-miR-493-3p	hsa-miR-493-3p
hsa-miR-493-5p	hsa-miR-493-5p
hsa-miR-494	hsa-miR-494
hsa-miR-495	hsa-miR-495
hsa-miR-496	hsa-miR-496
hsa-miR-497	hsa-miR-497
hsa-miR-498	hsa-miR-498
hsa-miR-499	hsa-miR-499
hsa-miR-500	hsa-miR-500
hsa-miR-501	hsa-miR-501
hsa-miR-502	hsa-miR-502
hsa-miR-503	hsa-miR-503
hsa-miR-504	hsa-miR-504
hsa-miR-505	hsa-miR-505
hsa-miR-506	hsa-miR-506
hsa-miR-507	hsa-miR-507
hsa-miR-508	hsa-miR-508
hsa-miR-509	hsa-miR-509
hsa-miR-510	hsa-miR-510
hsa-miR-511	hsa-miR-511
hsa-miR-512-3p	hsa-miR-512-3p
hsa-miR-512-5p	hsa-miR-512-5p
hsa-miR-513	hsa-miR-513
hsa-miR-514	hsa-miR-514
hsa-miR-515-3p	hsa-miR-515-3p
hsa-miR-515-5p	hsa-miR-515-5p
hsa-miR-516-3p	hsa-miR-516-3p
hsa-miR-516-5p	hsa-miR-516-5p
hsa-miR-517a	hsa-miR-517a
hsa-miR-517a	hsa-miR-517a
hsa-miR-517b	hsa-miR-517b
hsa-miR-517c	hsa-miR-517c
hsa-miR-518a	hsa-miR-518a
hsa-miR-518b	hsa-miR-518b
hsa-miR-518c	hsa-miR-518c
hsa-miR-518c	hsa-miR-518c
hsa-miR-518d	hsa-miR-518d
hsa-miR-518e	hsa-miR-518e
hsa-miR-518f	hsa-miR-518f
hsa-miR-518f	hsa-miR-518f
hsa-miR-519a	hsa-miR-519a
hsa-miR-519b	hsa-miR-519b
hsa-miR-519c	hsa-miR-519c
hsa-miR-519d	hsa-miR-519d
hsa-miR-519e	hsa-miR-519e
hsa-miR-519e	hsa-miR-519e
hsa-miR-520a	hsa-miR-520a
hsa-miR-520a*	hsa-miR-520a*
hsa-miR-520b	hsa-miR-520b
hsa-miR-520c	hsa-miR-520c
hsa-miR-520d	hsa-miR-520d
hsa-miR-520d	hsa-miR-520d
hsa-miR-520e	hsa-miR-520e
hsa-miR-520f	hsa-miR-520f
hsa-miR-520g	hsa-miR-520g
hsa-miR-520h	hsa-miR-520h
hsa-miR-521	hsa-miR-521
hsa-miR-522	hsa-miR-522
hsa-miR-523	hsa-miR-523
hsa-miR-524	hsa-miR-524
hsa-miR-524	hsa-miR-524
hsa-miR-525	hsa-miR-525
hsa-miR-525*	hsa-miR-525*
hsa-miR-526a	hsa-miR-526a
hsa-miR-526b	hsa-miR-526b
hsa-miR-526b	hsa-miR-526b
hsa-miR-526c	hsa-miR-526c
hsa-miR-527	hsa-miR-527
hsa-miR-532	hsa-miR-532
hsa-miR-539	hsa-miR-539
hsa-miR-542-3p	hsa-miR-542-3p
hsa-miR-542-5p	hsa-miR-542-5p
hsa-miR-544	hsa-miR-544
hsa-miR-545	hsa-miR-545
hsa-miR-548a	hsa-miR-548a
hsa-miR-548b	hsa-miR-548b
hsa-miR-548c	hsa-miR-548c
hsa-miR-548d	hsa-miR-548d
hsa-miR-549	hsa-miR-549
hsa-miR-550	hsa-miR-550
hsa-miR-551a	hsa-miR-551a
hsa-miR-551b	hsa-miR-551b
hsa-miR-552	hsa-miR-552
hsa-miR-553	hsa-miR-553
hsa-miR-554	hsa-miR-554
hsa-miR-555	hsa-miR-555
hsa-miR-556	hsa-miR-556
hsa-miR-557	hsa-miR-557
hsa-miR-558	hsa-miR-558
hsa-miR-559	hsa-miR-559
hsa-miR-560	hsa-miR-560
hsa-miR-561	hsa-miR-561
hsa-miR-562	hsa-miR-562
hsa-miR-563	hsa-miR-563
hsa-miR-564	hsa-miR-564
hsa-miR-565	hsa-miR-565
hsa-miR-566	hsa-miR-566
hsa-miR-567	hsa-miR-567
hsa-miR-568	hsa-miR-568
hsa-miR-569	hsa-miR-569
hsa-miR-570	hsa-miR-570
hsa-miR-571	hsa-miR-571
hsa-miR-572	hsa-miR-572
hsa-miR-573	hsa-miR-573
hsa-miR-574	hsa-miR-574
hsa-miR-575	hsa-miR-575
hsa-miR-576	hsa-miR-576
hsa-miR-577	hsa-miR-577
hsa-miR-578	hsa-miR-578
hsa-miR-579	hsa-miR-579
hsa-miR-580	hsa-miR-580
hsa-miR-581	hsa-miR-581
hsa-miR-582	hsa-miR-582
hsa-miR-583	hsa-miR-583
hsa-miR-584	hsa-miR-584
hsa-miR-585	hsa-miR-585
hsa-miR-586	hsa-miR-586
hsa-miR-587	hsa-miR-587
hsa-miR-588	hsa-miR-588
hsa-miR-589	hsa-miR-589
hsa-miR-590	hsa-miR-590
hsa-miR-591	hsa-miR-591
hsa-miR-592	hsa-miR-592
hsa-miR-593	hsa-miR-593
hsa-miR-594	hsa-miR-594
hsa-miR-595	hsa-miR-595
hsa-miR-596	hsa-miR-596
hsa-miR-597	hsa-miR-597
hsa-miR-598	hsa-miR-598
hsa-miR-599	hsa-miR-599
hsa-miR-600	hsa-miR-600
hsa-miR-601	hsa-miR-601
hsa-miR-602	hsa-miR-602
hsa-miR-603	hsa-miR-603
hsa-miR-604	hsa-miR-604
hsa-miR-605	hsa-miR-605
hsa-miR-606	hsa-miR-606
hsa-miR-607	hsa-miR-607
hsa-miR-608	hsa-miR-608
hsa-miR-609	hsa-miR-609
hsa-miR-610	hsa-miR-610
hsa-miR-611	hsa-miR-611
hsa-miR-612	hsa-miR-612
hsa-miR-613	hsa-miR-613
hsa-miR-614	hsa-miR-614
hsa-miR-615	hsa-miR-615
hsa-miR-616	hsa-miR-616
hsa-miR-617	hsa-miR-617
hsa-miR-618	hsa-miR-618
hsa-miR-619	hsa-miR-619
hsa-miR-620	hsa-miR-620
hsa-miR-621	hsa-miR-621
hsa-miR-622	hsa-miR-622
hsa-miR-623	hsa-miR-623
hsa-miR-624	hsa-miR-624
hsa-miR-625	hsa-miR-625
hsa-miR-626	hsa-miR-626
hsa-miR-627	hsa-miR-627
hsa-miR-628	hsa-miR-628
hsa-miR-629	hsa-miR-629
hsa-miR-630	hsa-miR-630
hsa-miR-631	hsa-miR-631
hsa-miR-632	hsa-miR-632
hsa-miR-633	hsa-miR-633
hsa-miR-634	hsa-miR-634
hsa-miR-635	hsa-miR-635
hsa-miR-636	hsa-miR-636
hsa-miR-637	hsa-miR-637
hsa-miR-638	hsa-miR-638
hsa-miR-639	hsa-miR-639
hsa-miR-640	hsa-miR-640
hsa-miR-641	hsa-miR-641
hsa-miR-642	hsa-miR-642
hsa-miR-643	hsa-miR-643
hsa-miR-644	hsa-miR-644
hsa-miR-645	hsa-miR-645
hsa-miR-646	hsa-miR-646
hsa-miR-647	hsa-miR-647
hsa-miR-648	hsa-miR-648
hsa-miR-649	hsa-miR-649
hsa-miR-650	hsa-miR-650
hsa-miR-651	hsa-miR-651
hsa-miR-652	hsa-miR-652
hsa-miR-653	hsa-miR-653
hsa-miR-654	hsa-miR-654
hsa-miR-655	hsa-miR-655
hsa-miR-656	hsa-miR-656
hsa-miR-657	hsa-miR-657
hsa-miR-658	hsa-miR-658
hsa-miR-659	hsa-miR-659
hsa-miR-660	hsa-miR-660
hsa-miR-661	hsa-miR-661
hsa-miR-662	hsa-miR-662
hsa-miR-663	hsa-miR-663
hsa-miR-668	hsa-miR-668
hsa-miR-671	hsa-miR-671
hsa-miR-675	hsa-miR-675
hsa-miR-7	hsa-miR-7
hsa-miR-765	hsa-miR-765
hsa-miR-766	hsa-miR-766
hsa-miR-767-3p	hsa-miR-767-3p
hsa-miR-767-5p	hsa-miR-767-5p
hsa-miR-768-3p	hsa-miR-768-3p
hsa-miR-768-5p	hsa-miR-768-5p
hsa-miR-769-3p	hsa-miR-769-3p
hsa-miR-769-5p	hsa-miR-769-5p
hsa-miR-770-5p	hsa-miR-770-5p
hsa-miR-801	hsa-miR-801
hsa-miR-802	hsa-miR-802
hsa-miR-9	hsa-miR-9
hsa-miR-93	hsa-miR-93
hsa-miR-92	hsa-miR-92
hsa-miR-92b	hsa-miR-92b
hsa-miR-93	hsa-miR-93
hsa-miR-95	hsa-miR-95
hsa-miR-96	hsa-miR-96
hsa-miR-98	hsa-miR-98
hsa-miR-99a	hsa-miR-99a
hsa-miR-99b	hsa-miR-99b
