FILE_NAME	PEAK_NAME	RETENTION_TIME	MZ
20091015_SB_SerumRun_NEG_NORM.Rda	180.9725_0.2673	0.2673	180.9725
20091015_SB_SerumRun_NEG_NORM.Rda	186.1112_2.4481	2.4481	186.1112
20091015_SB_SerumRun_NEG_NORM.Rda	186.1126_1.9347	1.9347	186.1126
20091015_SB_SerumRun_NEG_NORM.Rda	187.0071_1.9491	1.9491	187.0071
20091015_SB_SerumRun_NEG_NORM.Rda	187.0124_1.7471	1.7471	187.0124
20091015_SB_SerumRun_NEG_NORM.Rda	193.1228_2.1752	2.1752	193.1228
20091015_SB_SerumRun_NEG_NORM.Rda	193.1229_2.5348	2.5348	193.1229
20091015_SB_SerumRun_NEG_NORM.Rda	195.102_3.1575	3.1575	195.102
20091015_SB_SerumRun_NEG_NORM.Rda	195.8116_0.3786	0.3786	195.8116
20091015_SB_SerumRun_NEG_NORM.Rda	197.1178_2.5094	2.5094	197.1178
20091015_SB_SerumRun_NEG_NORM.Rda	197.8084_0.3766	0.3766	197.8084
20091015_SB_SerumRun_NEG_NORM.Rda	200.1283_2.2286	2.2286	200.1283
20091015_SB_SerumRun_NEG_NORM.Rda	203.0818_1.4576	1.4576	203.0818
20091015_SB_SerumRun_NEG_NORM.Rda	203.0832_1.3594	1.3594	203.0832
20091015_SB_SerumRun_NEG_NORM.Rda	206.0069_2.3224	2.3224	206.0069
20091015_SB_SerumRun_NEG_NORM.Rda	207.0228_1.9718	1.9718	207.0228
20091015_SB_SerumRun_NEG_NORM.Rda	207.102_3.2838	3.2838	207.102
20091015_SB_SerumRun_NEG_NORM.Rda	208.0951_1.9336	1.9336	208.0951
20091015_SB_SerumRun_NEG_NORM.Rda	208.8455_0.2997	0.2997	208.8455
20091015_SB_SerumRun_NEG_NORM.Rda	210.8426_0.2998	0.2998	210.8426
20091015_SB_SerumRun_NEG_NORM.Rda	211.0965_2.1759	2.1759	211.0965
20091015_SB_SerumRun_NEG_NORM.Rda	211.131_2.7884	2.7884	211.131
20091015_SB_SerumRun_NEG_NORM.Rda	212.0008_1.5126	1.5126	212.0008
20091015_SB_SerumRun_NEG_NORM.Rda	213.0226_2.6141	2.6141	213.0226
20091015_SB_SerumRun_NEG_NORM.Rda	214.1442_2.5099	2.5099	214.1442
20091015_SB_SerumRun_NEG_NORM.Rda	215.0315_0.3148	0.3148	215.0315
20091015_SB_SerumRun_NEG_NORM.Rda	217.0838_3.1578	3.1578	217.0838
20091015_SB_SerumRun_NEG_NORM.Rda	218.8747_0.2953	0.2953	218.8747
20091015_SB_SerumRun_NEG_NORM.Rda	220.8718_0.2907	0.2907	220.8718
20091015_SB_SerumRun_NEG_NORM.Rda	221.1534_3.695	3.695	221.1534
20091015_SB_SerumRun_NEG_NORM.Rda	222.0756_1.5126	1.5126	222.0756
20091015_SB_SerumRun_NEG_NORM.Rda	222.1108_2.2287	2.2287	222.1108
20091015_SB_SerumRun_NEG_NORM.Rda	223.133_3.7637	3.7637	223.133
20091015_SB_SerumRun_NEG_NORM.Rda	224.9788_0.35	0.35	224.9788
20091015_SB_SerumRun_NEG_NORM.Rda	225.0637_1.4577	1.4577	225.0637
20091015_SB_SerumRun_NEG_NORM.Rda	226.943_2.262	2.262	226.943
20091015_SB_SerumRun_NEG_NORM.Rda	226.9651_0.2575	0.2575	226.9651
20091015_SB_SerumRun_NEG_NORM.Rda	228.1589_2.7932	2.7932	228.1589
20091015_SB_SerumRun_NEG_NORM.Rda	228.9023_0.2814	0.2814	228.9023
20091015_SB_SerumRun_NEG_NORM.Rda	233.0603_1.9714	1.9714	233.0603
20091015_SB_SerumRun_NEG_NORM.Rda	235.1123_3.832	3.832	235.1123
20091015_SB_SerumRun_NEG_NORM.Rda	236.1049_3.6958	3.6958	236.1049
20091015_SB_SerumRun_NEG_NORM.Rda	236.1257_2.5127	2.5127	236.1257
20091015_SB_SerumRun_NEG_NORM.Rda	238.931_0.2704	0.2704	238.931
20091015_SB_SerumRun_NEG_NORM.Rda	239.091_3.1547	3.1547	239.091
20091015_SB_SerumRun_NEG_NORM.Rda	241.1184_1.8067	1.8067	241.1184
20091015_SB_SerumRun_NEG_NORM.Rda	242.1749_3.0608	3.0608	242.1749
20091015_SB_SerumRun_NEG_NORM.Rda	243.0638_1.9705	1.9705	243.0638
20091015_SB_SerumRun_NEG_NORM.Rda	245.1157_3.7636	3.7636	245.1157
20091015_SB_SerumRun_NEG_NORM.Rda	246.9498_2.2618	2.2618	246.9498
20091015_SB_SerumRun_NEG_NORM.Rda	248.96_0.2708	0.2708	248.96
20091015_SB_SerumRun_NEG_NORM.Rda	250.0623_3.832	3.832	250.0623
20091015_SB_SerumRun_NEG_NORM.Rda	251.0126_1.9697	1.9697	251.0126
20091015_SB_SerumRun_NEG_NORM.Rda	251.0708_3.5983	3.5983	251.0708
20091015_SB_SerumRun_NEG_NORM.Rda	253.0818_4.1472	4.1472	253.0818
20091015_SB_SerumRun_NEG_NORM.Rda	255.2315_4.7206	4.7206	255.2315
20091015_SB_SerumRun_NEG_NORM.Rda	255.2318_4.8228	4.8228	255.2318
20091015_SB_SerumRun_NEG_NORM.Rda	260.8737_0.4205	0.4205	260.8737
20091015_SB_SerumRun_NEG_NORM.Rda	261.0162_2.4842	2.4842	261.0162
20091015_SB_SerumRun_NEG_NORM.Rda	261.0738_3.1569	3.1569	261.0738
20091015_SB_SerumRun_NEG_NORM.Rda	263.1022_1.7481	1.7481	263.1022
20091015_SB_SerumRun_NEG_NORM.Rda	265.1474_4.7656	4.7656	265.1474
20091015_SB_SerumRun_NEG_NORM.Rda	266.8049_0.313	0.313	266.8049
20091015_SB_SerumRun_NEG_NORM.Rda	267.1228_3.7647	3.7647	267.1228
20091015_SB_SerumRun_NEG_NORM.Rda	268.8015_0.3159	0.3159	268.8015
20091015_SB_SerumRun_NEG_NORM.Rda	270.0657_1.9333	1.9333	270.0657
20091015_SB_SerumRun_NEG_NORM.Rda	271.0648_2.4873	2.4873	271.0648
20091015_SB_SerumRun_NEG_NORM.Rda	271.2268_5.6079	5.6079	271.2268
20091015_SB_SerumRun_NEG_NORM.Rda	272.7961_0.3114	0.3114	272.7961
20091015_SB_SerumRun_NEG_NORM.Rda	272.995_1.9852	1.9852	272.995
20091015_SB_SerumRun_NEG_NORM.Rda	273.0801_2.5394	2.5394	273.0801
20091015_SB_SerumRun_NEG_NORM.Rda	276.8335_0.2988	0.2988	276.8335
20091015_SB_SerumRun_NEG_NORM.Rda	277.0509_1.9645	1.9645	277.0509
20091015_SB_SerumRun_NEG_NORM.Rda	277.0716_2.1756	2.1756	277.0716
