SUBJECT_ID	BIOSPECIMEN_ID	ARRAY DESIGN 	RDA_FILE	RDA_DESCRIPTION
P_78	GSM553081		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_79	GSM553163		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_80	GSM552965		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_83	GSM553076		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_84	GSM553104		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_85	GSM553109		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_86	GSM553128		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_87	GSM553135		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_88	GSM553153		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_89	GSM553025		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_90	GSM553047		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_91	GSM553074		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_92	GSM553115		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_93	GSM553119		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_94	GSM553123		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_95	GSM553138		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_96	GSM553142		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_97	GSM553150		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_98	GSM553015		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_99	GSM553154		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_101	GSM553020		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_102	GSM553045		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_103	GSM553077		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_104	GSM553091		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_105	GSM553145		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_106	GSM552969		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_107	GSM552990		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_109	GSM553004		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_110	GSM553089		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_111	GSM553093		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_112	GSM553095		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_113	GSM553120		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_114	GSM552989		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_115	GSM553031		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_116	GSM553037		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_117	GSM553066		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_118	GSM553071		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_119	GSM553092		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_120	GSM553102		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_121	GSM553144		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_122	GSM552971		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_123	GSM552996		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_124	GSM553075		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_125	GSM553108		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_126	GSM553164		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_128	GSM553006		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_129	GSM553080		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_130	GSM553156		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_131	GSM553052		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_132	GSM553083		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_133	GSM553084		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_134	GSM553096		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_135	GSM553140		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
P_136	GSM553157		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
