FILE_NAME	PEAK_NAME	RETENTION_TIME	MZ	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.3542_144.1014	4.3542	144.1014	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3363_145.0133	0.3363	145.0133	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.2904_145.0488	1.2904	145.0488	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.5464_145.0582	4.5464	145.0582	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.1271_145.0599	3.1271	145.0599	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.1226_145.0602	2.1226	145.0602	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.7106_146.043	2.7106	146.043	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3272_146.0445	0.3272	146.0445	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.791_146.0586	1.791	146.0586	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3142_149.0433	0.3142	149.0433	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.3041_151.0383	3.3041	151.0383	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.4671_151.0385	2.4671	151.0385	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2927_151.0593	0.2927	151.0593	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.5163_151.1469	5.5163	151.1469	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3268_153.0297	0.3268	153.0297	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.6028_153.0902	3.6028	153.0902	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2843_154.0598	0.2843	154.0598	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3165_154.9225	0.3165	154.9225	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3142_155.0457	0.3142	155.0457	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.273_155.1059	5.273	155.1059	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.4724_157.049	1.4724	157.049	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.1325_157.0853	3.1325	157.0853	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.1501_157.1213	5.1501	157.1213	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.9975_158.1168	4.9975	158.1168	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2482_158.9766	0.2482	158.9766	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.0725_159.0644	2.0725	159.0644	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.6315_160.075	3.6315	160.075	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2951_160.9146	0.2951	160.9146	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2798_164.9534	0.2798	164.9534	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.321_165.0384	0.321	165.0384	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.8012_166.0129	3.8012	166.0129	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.333_167.0196	0.333	167.0196	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.7215_170.0799	2.7215	170.0799	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.3823_171.0644	2.3823	171.0644	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.2385_171.1011	3.2385	171.1011	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.9969_172.0956	2.9969	172.0956	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3427_173.0077	0.3427	173.0077	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.421_173.0804	2.421	173.0804	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3042_176.9012	0.3042	176.9012	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.9425_178.0492	1.9425	178.0492	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3168_179.0543	0.3168	179.0543	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.601_179.0697	3.601	179.0697	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.815_179.106	4.815	179.106	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2666_180.9716	0.2666	180.9716	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.5905_181.0349	0.5905	181.0349	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.2956_181.0698	0.2956	181.0698	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.8489_184.0964	2.8489	184.0964	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.274_185.0804	3.274	185.0804	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.8377_186.1105	2.8377	186.1105	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3012_186.9289	0.3012	186.9289	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.277_186.931	0.277	186.931	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.8833_187.0056	2.8833	187.0056	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3106_187.031	0.3106	187.031	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3315_187.0708	0.3315	187.0708	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.7977_188.0337	1.7977	188.0337	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.0702_188.0916	2.0702	188.0916	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	1.792_190.0491	1.792	190.0491	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3563_191.0185	0.3563	191.0185	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.719_193.0371	2.719	193.0371	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.7014_194.0436	2.7014	194.0436	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.199_194.0442	4.199	194.0442	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	6.279_194.0803	6.279	194.0803	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.414_194.9266	0.414	194.9266	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3109_195.0495	0.3109	195.0495	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.8851_195.103	4.8851	195.103	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.6034_197.0807	3.6034	197.0807	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.4893_198.1113	4.4893	198.1113	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.0452_198.1118	5.0452	198.1118	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.2666_198.1119	4.2666	198.1119	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.9971_200.1275	4.9971	200.1275	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	5.1687_201.1117	5.1687	201.1117	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	4.8015_201.1117	4.8015	201.1117	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.9088_201.1117	3.9088	201.1117	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	2.893_201.1118	2.893	201.1118	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.6329_204.0652	3.6329	204.0652	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.2427_204.0652	3.2427	204.0652	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.8461_205.0535	3.8461	205.0535	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	3.2731_207.0616	3.2731	207.0616	
20101220_crc_metabolomics_urine_neg_40_log2.Rda	0.3048_208.8448	0.3048	208.8448	
